,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,2.47,1.8,1.57,1.4,1.66,1.67,3.39,3.08,3.13,5.29,4.15,3.94,4.59,4.24,4.34,4.2
f_1,1.52,2.49,2.32,1.67,1.58,1.51,2.94,3.23,3.8,3.37,3.36,2.92,4.32,3.36,4.64,2.76
e_1,1.55,1.57,2.49,1.96,1.75,1.72,3.32,3.35,5.32,3.59,3.85,3.73,4.22,3.74,4.41,3.34
c_1,1.73,1.52,1.49,2.72,2.62,1.61,3.19,3.32,2.97,2.55,2.63,4.07,4.62,3.58,4.5,3.7
b_1,1.64,1.71,1.64,1.52,2.8,2.76,3.1,2.96,3.41,3.63,3.19,3.69,4.27,3.6,4.78,3.91
a_1,1.78,1.64,1.59,1.83,1.44,3.33,3.76,3.43,3.76,3.66,4.04,3.62,5.12,3.7,4.83,4.37
h_1,1.78,2.1,1.7,1.75,1.64,1.46,4.35,4.17,3.22,3.51,3.26,3.26,4.12,3.79,5.07,3.86
g_1,2.16,1.65,1.54,1.69,1.71,1.53,2.9,4.62,3.29,3.98,3.68,4.88,4.41,3.81,3.84,4.7
d_0,1.51,1.76,1.5,2.74,1.83,1.49,3.42,3.36,4.39,3.13,3.78,3.44,4.86,3.39,4.51,4.29
c_0,1.68,2.01,1.67,1.73,1.5,1.69,3.84,3.37,3.95,4.5,5.82,3.85,5.16,4.76,4.93,4.97
b_0,1.87,1.92,1.64,1.96,1.4,1.5,3.58,3.45,3.42,3.18,4.68,3.84,4.61,5.92,5.12,3.81
f_0,1.75,1.74,1.54,1.69,1.75,1.96,3.55,3.0,3.66,3.9,3.95,4.96,4.57,4.19,4.32,7.36
h_0,1.83,2.12,1.8,1.66,1.66,1.52,2.68,3.78,3.35,3.49,4.04,3.77,4.36,3.75,5.56,3.58
a_0,1.74,2.09,1.67,1.95,1.8,1.18,3.6,3.62,4.02,3.62,3.64,3.7,5.05,5.38,4.8,3.84
g_0,2.15,1.65,1.59,1.73,1.72,1.73,3.13,2.93,3.24,3.76,4.03,5.1,4.28,4.15,4.51,4.78
e_0,1.78,2.06,1.75,1.73,1.84,1.87,3.49,3.34,3.08,3.07,3.92,3.1,5.08,4.14,4.18,5.51
