,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.51,0.86,0.73,0.6,0.6,0.63,0.88,0.66,1.26,0.59,0.98,0.88,0.85,0.99,0.68,0.9
f_1,0.73,1.52,1.1,0.65,0.69,0.48,0.77,0.75,0.85,0.91,0.83,0.58,0.84,0.81,0.54,0.82
e_1,0.74,0.69,1.55,0.95,0.7,0.58,0.85,0.79,0.88,1.48,0.98,0.85,0.81,0.94,0.57,0.87
c_1,0.83,0.81,0.62,1.57,1.08,0.67,0.89,0.87,0.48,0.71,0.56,0.83,0.65,0.89,0.73,0.79
b_1,0.86,0.8,0.71,0.68,1.63,1.03,0.89,0.87,0.93,0.92,0.51,0.76,0.65,0.88,0.69,0.85
a_1,0.79,0.86,0.74,0.88,0.73,1.75,1.17,0.87,0.88,0.97,0.98,0.97,0.4,1.06,1.04,1.1
h_1,1.12,1.31,0.91,0.88,0.78,0.62,1.74,1.29,1.13,1.09,1.26,1.02,0.95,1.06,1.06,1.38
g_1,1.45,0.94,0.9,0.91,0.77,0.75,1.09,1.83,1.01,1.02,1.33,1.53,1.09,1.26,1.28,0.95
c_0,1.03,1.07,1.16,0.98,0.76,0.73,1.17,1.18,1.65,1.31,1.94,1.1,1.21,1.17,1.08,1.24
d_0,0.91,1.03,0.89,1.72,0.94,0.78,1.11,1.13,0.81,1.59,1.08,1.03,1.09,1.29,0.88,1.0
b_0,1.09,1.23,0.95,1.42,0.74,0.61,1.17,1.05,1.04,1.26,1.7,1.1,1.73,1.3,0.97,1.21
f_0,1.24,0.78,0.92,1.09,1.03,0.83,1.33,1.11,1.42,1.2,1.27,1.73,1.1,1.3,2.07,1.26
a_0,1.11,1.12,1.08,1.35,0.98,0.69,1.24,1.18,1.19,1.19,1.17,1.17,1.75,1.49,1.04,1.24
h_0,1.18,1.46,1.08,1.11,0.88,0.78,0.94,1.45,1.21,1.17,1.18,1.14,1.18,1.06,0.84,1.34
e_0,1.22,1.15,0.89,1.23,1.21,0.85,1.27,1.07,1.29,1.28,1.31,1.0,1.09,1.62,1.83,1.11
g_0,1.63,1.08,0.99,1.03,0.91,0.72,1.18,1.0,1.37,1.18,1.27,1.51,1.09,1.38,1.35,1.05
