,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.41,0.73,0.67,0.62,0.65,0.59,0.3,0.38,0.34,0.26,0.28,0.36,0.2,0.28,0.25,0.27
e_1,0.48,0.4,0.82,0.65,0.7,0.6,0.37,0.48,0.37,0.32,0.31,0.39,0.26,0.29,0.41,0.3
c_1,0.69,0.54,0.39,0.82,0.74,0.67,0.36,0.34,0.2,0.31,0.27,0.27,0.26,0.3,0.29,0.24
d_1,0.68,0.75,0.6,0.39,0.71,0.56,0.34,0.25,0.36,0.33,0.33,0.31,0.26,0.33,0.33,0.19
b_1,0.71,0.67,0.47,0.64,0.36,0.85,0.37,0.38,0.32,0.41,0.4,0.33,0.27,0.3,0.31,0.27
a_1,0.88,0.73,0.67,0.73,0.39,0.3,0.44,0.37,0.3,0.27,0.38,0.27,0.27,0.32,0.26,0.24
h_1,0.68,0.59,0.64,0.63,0.57,0.52,0.24,0.37,0.29,0.27,0.3,0.25,0.33,0.27,0.27,0.29
g_1,0.67,0.58,0.62,0.71,0.59,0.63,0.29,0.22,0.29,0.28,0.29,0.31,0.2,0.34,0.28,0.24
d_0,0.64,0.41,0.82,0.77,0.65,0.59,0.35,0.37,0.24,0.27,0.3,0.27,0.28,0.32,0.29,0.29
c_0,0.65,0.65,0.94,0.43,0.59,0.61,0.36,0.34,0.39,0.23,0.34,0.29,0.26,0.31,0.35,0.23
b_0,0.66,0.59,0.83,0.5,0.72,0.56,0.35,0.33,0.29,0.18,0.22,0.3,0.26,0.3,0.29,0.26
f_0,0.74,0.57,0.7,0.58,0.62,0.6,0.36,0.24,0.28,0.27,0.29,0.21,0.23,0.28,0.32,0.18
h_0,0.67,0.66,0.61,0.6,0.64,0.6,0.36,0.36,0.25,0.27,0.25,0.27,0.26,0.24,0.23,0.24
a_0,0.68,0.65,0.64,0.51,0.63,0.71,0.35,0.3,0.29,0.26,0.19,0.37,0.24,0.19,0.28,0.24
e_0,0.83,0.7,0.61,0.57,0.61,0.64,0.34,0.28,0.29,0.26,0.29,0.17,0.3,0.34,0.19,0.22
g_0,0.62,0.58,0.61,0.66,0.62,0.7,0.26,0.38,0.24,0.29,0.28,0.29,0.19,0.28,0.26,0.28
