,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,6.28,2.73,3.58,2.37,2.9,2.77,10.62,21.76,13.62,11.01,13.75,14.52,18.68,16.35,13.16,19.33
f_1,4.49,6.52,2.58,2.89,2.35,2.71,9.91,12.24,12.84,10.33,12.89,7.97,19.19,16.14,9.7,20.01
c_1,2.39,2.72,6.56,2.69,5.15,2.99,9.12,12.25,8.5,9.41,8.04,14.01,19.51,14.1,13.55,20.32
d_1,2.79,2.98,2.37,6.62,3.12,2.67,9.99,9.13,21.62,11.14,16.82,14.29,21.43,13.32,15.71,19.1
b_1,2.74,3.17,2.56,3.03,7.68,5.24,10.98,11.98,13.91,10.19,10.18,13.08,19.77,10.37,13.61,20.76
a_1,2.92,3.08,3.07,3.03,2.35,10.04,11.09,13.78,11.97,11.23,13.44,15.12,22.56,10.28,17.43,19.35
h_1,3.0,3.82,3.12,3.13,2.93,2.55,18.98,12.34,12.46,14.23,12.96,13.95,17.5,15.84,17.55,27.33
d_0,2.9,2.71,4.93,2.24,3.29,2.84,10.23,20.1,9.93,10.33,13.35,14.53,22.49,15.67,16.13,22.21
c_0,3.07,3.5,2.72,3.37,2.2,3.05,11.91,14.19,19.6,10.98,25.75,13.0,23.47,21.62,18.73,23.17
g_1,2.81,2.55,2.98,4.74,2.76,2.89,9.85,12.01,13.7,22.7,14.0,21.29,21.09,15.19,16.94,17.91
b_0,2.88,3.2,3.68,3.22,2.53,2.34,11.56,13.59,13.63,11.53,23.14,13.51,23.38,31.2,15.92,23.37
f_0,2.51,2.74,3.68,3.08,3.65,3.07,11.82,14.46,13.59,11.54,14.91,24.81,24.21,16.95,32.52,21.58
h_0,2.79,4.09,3.24,3.24,3.1,2.68,8.68,12.46,12.67,12.87,14.43,13.8,19.31,17.8,15.62,27.24
a_0,2.98,3.64,3.03,3.28,3.08,2.31,12.3,13.01,13.51,12.27,15.03,14.8,27.02,29.96,15.95,23.27
e_0,2.5,3.49,3.03,3.14,3.0,3.33,12.91,12.41,13.29,11.85,15.34,14.64,22.61,20.2,29.94,23.58
g_0,2.58,2.88,2.85,4.05,3.17,2.69,11.51,11.25,14.14,11.84,14.55,21.34,20.69,18.69,20.08,19.81
