,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,94.7,11.27,15.67,18.02,27.84,73.57,1965.28,3584.8,6353.45,7975.12,7916.96,7038.48,12871.4,25932.58,,45347.54
f_1,18.12,113.4,12.14,24.75,26.56,65.96,1727.41,2117.91,4543.18,5776.26,,6818.17,15439.44,17616.99,15440.39,42098.95
d_1,9.19,12.26,116.95,17.87,28.59,98.55,1886.05,2668.93,6664.86,,6909.41,6518.36,14286.12,19920.39,31319.11,35717.41
c_1,10.85,8.74,11.42,168.66,37.49,63.6,1755.92,1906.72,,3517.47,6886.76,6527.25,14385.82,19351.51,19299.46,30832.47
b_1,8.37,11.84,10.33,12.24,208.54,79.11,1546.42,1728.42,3614.5,4163.33,7418.91,,10848.49,20991.77,13156.24,28989.69
a_1,8.17,6.05,6.18,10.4,13.36,486.08,995.34,1272.9,2630.53,,4039.6,3439.2,,15055.27,,19468.79
h_1,4.46,6.89,4.91,9.02,10.76,36.32,2842.59,1520.36,2061.23,2844.98,3559.51,4258.07,9018.29,,11770.47,28647.11
g_1,3.38,6.31,6.2,11.89,12.34,31.01,478.64,4068.82,1803.9,1483.63,4309.8,3653.38,8164.24,8863.6,,
c_0,2.85,5.22,5.49,,9.3,30.98,718.41,1164.97,4763.09,2259.64,3082.68,5814.35,7151.93,8693.22,10127.11,19267.01
d_0,3.57,5.42,,13.26,10.99,,638.99,1064.23,1947.23,5399.95,2454.43,2922.57,6701.29,11611.38,8097.8,15337.18
f_0,3.38,,5.61,6.55,7.2,25.18,523.34,769.92,1951.26,2214.72,7519.07,2295.97,4464.03,7269.11,14495.39,14712.63
b_0,3.35,4.63,5.0,7.24,,26.6,610.35,883.89,1184.85,2048.28,3581.45,7477.22,8909.12,6643.5,6001.54,14351.58
a_0,2.91,3.68,3.93,5.69,6.03,,490.47,647.07,995.56,1322.18,2583.35,1599.3,14391.3,7025.12,,8899.31
h_0,2.88,6.18,4.68,6.4,8.65,23.55,,1059.35,1516.9,1529.03,2316.98,2539.57,4229.85,,5504.68,12488.96
e_0,,3.85,2.52,5.2,8.64,,446.43,,953.93,1472.77,1580.65,2759.43,,7319.14,18616.81,10301.13
g_0,2.66,2.73,5.29,5.78,6.06,20.53,296.87,,1182.41,1210.45,2488.83,1926.94,4632.95,6663.47,6363.34,
