,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.42,1.32,1.37,1.79,3.16,17.97,34.5,36.93,38.15,43.35,61.61,66.81,86.89,113.09,143.26
e_1,0.71,1.0,1.37,1.22,1.71,3.48,18.66,41.37,35.26,33.12,39.11,67.59,73.51,71.83,124.15,115.59
c_1,0.74,0.74,1.0,1.17,1.9,2.56,14.6,17.9,25.67,24.05,28.44,41.77,63.6,61.5,68.1,91.53
d_1,0.73,0.81,0.84,1.0,1.16,2.44,13.19,22.67,22.09,32.39,33.48,39.12,56.56,62.15,68.19,69.12
b_1,0.55,0.59,0.54,0.88,1.0,2.89,11.94,17.09,18.76,21.28,23.11,32.71,48.52,39.79,57.74,67.39
a_1,0.31,0.28,0.39,0.41,0.35,1.0,6.55,9.36,11.54,11.05,14.15,19.88,24.13,23.29,34.52,35.58
h_1,0.06,0.05,0.07,0.07,0.09,0.16,1.0,1.66,2.05,1.72,2.26,2.76,3.89,4.38,6.1,6.98
d_0,0.03,0.02,0.06,0.04,0.06,0.11,0.59,1.0,1.27,0.96,1.34,1.85,2.86,2.63,4.08,3.81
g_1,0.03,0.03,0.04,0.05,0.05,0.09,0.49,0.79,1.0,0.97,1.19,1.97,1.95,2.42,3.1,3.46
c_0,0.03,0.03,0.04,0.03,0.05,0.09,0.55,1.02,1.04,1.0,1.73,1.81,2.65,2.75,3.38,3.7
b_0,0.02,0.02,0.04,0.03,0.04,0.07,0.47,0.77,0.81,0.58,1.0,1.46,2.01,3.25,2.84,2.93
f_0,0.02,0.02,0.02,0.03,0.03,0.05,0.36,0.56,0.47,0.57,0.66,1.0,1.54,1.65,2.95,1.5
h_0,0.02,0.01,0.01,0.02,0.02,0.04,0.25,0.36,0.5,0.39,0.53,0.65,1.0,0.93,1.39,1.73
a_0,0.01,0.01,0.02,0.02,0.02,0.04,0.22,0.38,0.41,0.39,0.32,0.62,1.03,1.0,1.34,1.56
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.17,0.24,0.32,0.3,0.38,0.34,0.74,0.75,1.01,0.91
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.14,0.26,0.29,0.29,0.34,0.64,0.59,0.65,1.1,1.0
