,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,0.44,27.37,38.98,32.86,28.89,40.9,6.1,11.07,6.66,13.52,,5.82,2.5,5.11,8.04,
d_1,38.55,0.44,48.8,32.66,32.0,,11.69,7.14,,7.14,7.29,5.07,4.49,2.54,7.55,5.08
e_1,16.36,34.88,0.44,35.25,39.76,36.38,10.17,8.75,6.1,8.74,8.05,9.16,5.03,5.05,6.43,
c_1,30.27,45.94,36.32,0.43,30.87,,8.1,9.8,3.98,,7.27,6.98,6.0,4.43,5.96,9.1
b_1,44.16,38.18,36.59,18.96,0.4,37.26,11.54,12.74,7.68,7.22,5.89,,4.49,6.52,,10.08
a_1,37.02,,46.48,,27.66,0.33,14.27,13.04,7.76,7.06,8.53,9.38,6.31,,,
h_1,16.71,19.43,16.32,19.22,18.5,17.27,0.38,6.89,2.97,2.9,3.49,3.72,,2.35,2.93,3.12
g_1,22.24,17.98,25.49,25.11,24.92,23.26,4.05,0.34,3.61,3.51,4.86,5.3,1.71,,3.56,3.92
d_0,16.74,,9.87,12.83,15.69,16.73,4.18,3.95,0.47,3.1,4.32,2.38,2.7,1.99,3.93,3.19
c_0,18.62,8.9,14.36,,16.56,12.63,5.42,3.42,3.72,0.49,2.74,4.66,2.58,1.84,4.33,3.22
f_0,,15.88,16.17,17.33,16.8,16.46,5.1,2.81,6.36,2.64,0.46,3.73,1.93,1.6,2.9,4.46
b_0,15.47,14.44,16.57,19.35,,17.83,5.1,4.48,3.77,2.07,2.94,0.47,3.32,2.22,4.41,2.86
h_0,13.82,9.68,9.98,12.01,12.58,12.75,,3.54,2.92,2.15,3.05,2.21,,2.92,2.25,2.19
g_0,16.33,15.56,13.89,15.02,14.07,,2.38,,3.16,2.99,2.46,3.01,1.43,,2.77,2.27
a_0,17.94,22.4,35.05,20.85,,,5.81,7.02,4.22,3.47,4.11,2.49,3.69,3.49,0.36,
e_0,,29.97,,16.98,18.55,,4.29,5.19,4.65,4.23,2.02,3.19,3.39,2.99,,0.37
