,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,0.66,1.15,0.97,1.12,0.99,0.82,0.4,0.39,0.55,0.35,0.47,0.38,0.35,0.25,0.34,0.34
e_1,0.76,0.66,0.95,1.36,1.16,0.92,0.5,0.53,0.52,0.39,0.46,0.4,0.38,0.35,0.52,0.33
d_1,1.11,1.31,0.64,1.03,1.03,0.96,0.48,0.5,0.32,0.45,0.39,0.39,0.32,0.3,0.35,0.22
c_1,1.11,0.88,1.41,0.64,1.32,1.05,0.49,0.25,0.5,0.5,0.37,0.37,0.38,0.3,0.35,0.31
b_1,1.31,1.16,1.38,0.74,0.62,1.3,0.54,0.42,0.54,0.51,0.43,0.47,0.38,0.36,0.36,0.38
a_1,1.71,1.42,1.29,1.32,0.78,0.57,0.76,0.63,0.69,0.55,0.5,0.75,0.83,0.43,0.46,0.4
h_1,1.92,1.65,1.6,1.76,1.7,1.41,0.55,0.61,0.77,0.55,0.58,0.56,0.51,0.63,0.52,0.5
d_0,1.97,1.22,2.22,2.22,2.12,1.64,0.95,0.59,0.89,0.72,0.66,0.76,0.63,0.61,0.69,0.62
g_1,1.88,1.87,2.12,1.87,1.89,1.7,0.69,0.77,0.52,0.62,0.67,0.71,0.61,0.45,0.65,0.67
c_0,2.24,2.0,1.27,2.74,2.16,1.51,0.94,0.91,0.9,0.57,0.67,0.81,0.68,0.63,0.67,0.55
f_0,2.59,1.9,1.95,1.95,1.92,1.72,0.98,0.84,0.73,0.67,0.56,0.8,0.66,0.6,0.93,0.39
b_0,2.21,1.97,1.79,2.6,2.68,1.44,0.97,0.77,0.84,0.48,0.65,0.54,0.83,0.66,0.7,0.56
a_0,2.78,2.26,2.28,2.48,2.72,2.06,1.1,0.91,0.87,0.7,0.71,0.5,0.55,0.71,0.74,0.67
h_0,2.46,2.23,2.25,2.32,2.18,1.87,1.1,0.81,1.08,0.8,0.78,0.86,0.71,0.78,0.72,0.71
e_0,3.01,2.47,2.24,2.2,2.28,2.22,1.05,0.76,0.98,0.77,0.51,0.83,0.75,0.71,0.54,0.53
g_0,2.38,2.39,2.54,2.51,2.2,2.34,0.9,0.86,1.1,0.84,1.09,0.97,0.73,0.6,0.85,0.76
