,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.78,1.27,0.79,0.8,0.7,0.76,0.91,0.86,0.83,0.98,0.98,0.71,0.95,0.94,0.66,0.94
e_1,0.84,1.85,0.66,0.97,0.82,0.75,1.07,0.89,0.84,1.67,1.04,0.99,0.95,0.97,0.81,0.9
d_1,0.91,0.75,1.9,0.68,0.74,0.83,1.01,1.02,1.63,0.69,1.26,1.19,1.09,1.04,1.09,1.04
c_1,0.73,0.79,0.78,1.92,1.42,0.74,0.81,0.75,0.59,0.87,0.64,0.86,0.9,0.87,0.88,0.89
b_1,0.85,0.67,0.82,0.85,2.0,1.33,0.86,0.94,0.95,0.87,0.7,0.93,0.78,1.09,1.01,1.03
a_1,0.87,0.82,0.93,0.86,0.69,2.74,1.09,1.05,1.1,0.89,1.0,0.99,0.76,1.14,1.15,1.1
h_1,1.08,0.86,1.09,0.81,0.74,0.67,1.82,1.35,1.04,0.94,1.1,1.02,1.05,0.78,1.02,1.37
g_1,0.86,0.72,1.27,0.84,0.79,0.75,0.91,2.21,0.94,0.75,0.98,1.51,1.07,1.03,1.32,0.88
c_0,0.92,0.84,1.1,0.76,0.62,0.81,1.17,1.18,1.61,1.02,1.87,1.21,1.43,1.07,1.23,1.18
d_0,0.83,0.85,0.69,1.44,0.98,0.71,1.06,1.01,0.67,1.47,0.86,0.96,1.02,0.95,0.96,0.98
b_0,0.99,0.95,1.04,0.87,0.57,0.57,1.07,1.24,1.05,0.97,1.75,1.17,2.17,1.25,1.13,0.99
f_0,0.8,0.74,1.01,0.96,0.84,0.81,1.08,1.21,1.15,0.93,1.12,1.74,1.12,1.14,2.13,1.01
a_0,1.01,0.79,1.01,0.86,0.88,0.56,1.3,1.15,1.03,0.95,1.15,1.16,1.93,1.2,1.22,1.07
h_0,1.16,0.84,1.02,0.81,0.71,0.9,0.76,1.46,0.97,0.87,1.05,0.97,0.95,0.78,1.04,1.28
e_0,1.01,0.51,1.09,0.95,0.78,0.96,1.17,1.14,1.01,0.95,1.1,1.0,1.09,1.02,2.29,1.22
g_0,0.77,0.74,1.36,0.88,0.8,0.82,1.07,1.01,1.09,0.73,1.1,1.51,1.15,0.96,1.25,0.93
