,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.14,10.91,10.04,7.93,10.68,11.32,2.02,2.35,2.61,3.33,1.91,7.17,1.08,2.02,1.8,1.87
e_1,5.61,1.14,13.16,9.99,14.79,13.79,3.41,2.25,1.93,3.73,2.28,2.69,1.83,11.47,2.36,1.8
c_1,12.74,10.69,1.14,17.46,11.18,14.69,4.54,1.24,10.31,2.88,2.55,1.91,1.74,2.28,2.11,1.79
d_1,14.16,12.28,14.78,1.14,12.03,13.25,3.19,10.14,2.44,2.21,2.76,2.14,2.1,1.77,2.38,1.02
b_1,14.88,21.63,7.01,13.89,1.14,12.21,4.03,3.58,3.29,4.92,16.64,3.1,2.28,2.37,3.49,2.23
a_1,24.9,19.58,21.07,26.49,8.48,1.15,6.4,5.49,4.08,6.14,7.32,4.63,2.88,4.59,,3.09
h_1,27.01,26.57,29.3,31.26,32.27,23.3,1.92,7.93,4.43,10.51,4.86,4.94,15.21,5.21,6.58,4.88
d_0,30.47,16.61,31.29,104.2,35.06,24.72,10.45,2.64,7.07,10.69,6.54,6.13,3.94,4.99,5.43,4.8
c_0,34.63,41.8,123.96,19.06,41.16,29.38,11.18,7.09,2.57,9.54,7.42,7.71,4.3,7.17,6.58,4.33
g_1,41.4,42.76,38.83,37.66,43.69,22.52,7.86,8.59,6.99,1.93,8.45,7.27,3.84,8.0,8.77,10.06
b_0,48.22,30.24,61.98,36.78,202.86,36.85,9.45,7.77,3.96,11.48,2.44,7.07,4.84,10.12,7.12,4.66
f_0,131.34,42.27,38.37,34.73,45.81,37.54,12.41,8.69,8.17,6.97,8.71,2.68,7.47,6.75,9.0,3.85
h_0,62.44,44.82,49.58,42.24,54.62,57.91,36.09,10.28,10.31,14.42,9.8,13.05,15.78,11.1,10.06,9.18
e_0,115.42,132.86,52.84,62.52,50.71,65.39,15.57,9.73,15.34,14.42,11.44,5.41,9.91,3.04,13.15,9.75
a_0,74.69,51.67,80.58,60.12,88.75,,17.64,14.6,11.44,21.38,5.33,11.84,8.19,11.47,2.8,10.06
g_0,74.69,68.89,76.74,62.52,83.53,67.57,14.18,16.22,11.44,,12.77,14.54,7.47,12.29,13.15,
