,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.46,34.34,36.06,34.4,30.28,30.32,6.64,10.06,5.75,5.75,6.62,,2.79,6.7,5.57,6.63
e_1,18.98,0.45,38.72,33.02,34.54,43.99,8.4,12.91,5.21,7.74,8.46,6.94,4.44,6.1,,3.97
d_1,35.15,36.02,0.43,30.13,34.3,34.26,9.55,6.06,6.46,,7.58,7.74,4.66,6.94,8.68,2.27
c_1,38.7,31.39,46.91,0.42,29.27,24.75,10.12,10.4,,4.08,8.82,7.77,4.36,5.66,7.8,5.72
b_1,47.72,33.0,33.15,21.11,0.4,47.09,12.03,8.43,10.72,7.26,,5.91,7.83,6.66,7.42,3.92
a_1,46.08,60.68,59.65,63.26,23.57,0.33,9.5,11.7,11.57,7.72,8.72,7.68,,,,
h_1,15.25,18.96,18.58,13.63,17.68,17.94,0.37,4.76,4.23,4.9,2.96,2.93,,3.17,3.37,2.81
g_1,36.63,21.64,15.15,26.02,15.19,22.75,4.5,0.33,5.18,3.63,4.23,4.51,2.13,6.15,3.17,
c_0,15.48,19.45,8.32,,18.01,14.4,4.48,8.41,0.47,4.01,2.93,2.51,1.94,2.69,2.82,2.14
d_0,11.47,7.63,,16.7,15.61,14.4,3.65,5.47,3.73,0.52,3.46,3.28,1.94,3.36,2.68,3.36
b_0,14.29,19.66,22.94,15.79,,18.73,5.47,4.5,1.62,2.62,0.46,3.1,2.37,3.74,2.81,3.71
f_0,,16.21,15.47,17.67,18.07,16.54,5.6,2.62,3.69,4.0,4.77,0.42,3.16,,2.97,1.61
h_0,12.89,15.39,12.26,13.21,19.5,,,2.34,2.95,1.78,2.25,2.93,,2.22,2.82,1.96
a_0,32.55,20.66,15.16,19.43,21.72,,5.76,7.84,4.26,4.26,1.7,,2.81,0.41,3.25,
e_0,21.78,,19.61,21.41,23.53,,5.14,6.99,6.34,4.23,4.01,4.61,1.54,3.64,0.36,
g_0,15.13,23.39,14.72,16.26,16.26,,2.62,,2.64,2.97,3.19,2.56,1.86,,,
