,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.16,1.09,0.92,0.94,0.85,0.64,0.68,0.64,0.63,0.65,,0.58,0.57,0.49,0.5
e_1,0.86,1.0,1.1,0.93,1.11,0.65,0.8,0.85,0.73,0.62,0.63,0.68,0.48,0.56,,0.55
c_1,0.91,0.91,1.0,1.18,1.13,1.14,0.81,0.67,0.52,,0.71,0.54,0.59,0.46,0.66,0.62
d_1,1.09,1.07,0.85,1.0,1.14,0.77,0.64,0.53,,0.85,0.81,0.6,0.72,0.59,0.64,0.36
b_1,1.06,0.9,0.88,0.88,1.0,1.4,0.71,0.68,0.76,0.86,,0.72,0.61,0.57,0.55,0.67
a_1,1.17,1.55,0.88,1.3,0.71,1.0,1.04,0.86,0.9,0.72,0.76,0.66,0.69,,0.66,0.56
h_1,1.57,1.24,1.24,1.56,1.41,0.97,1.0,1.01,0.94,0.9,0.92,0.74,,0.77,0.81,1.0
g_1,1.46,1.18,1.49,1.87,1.47,1.17,0.99,1.0,0.97,0.85,0.93,1.21,0.65,,0.99,
d_0,1.57,1.36,1.93,,1.32,1.11,1.06,1.03,1.0,1.08,0.89,0.97,0.97,0.83,0.68,0.92
c_0,1.6,1.61,,1.17,1.17,1.39,1.11,1.18,0.93,1.0,1.31,0.77,1.11,0.92,0.78,0.93
b_0,1.54,1.58,1.41,1.23,,1.31,1.09,1.08,1.12,0.76,1.0,1.38,0.99,1.09,0.97,1.21
f_0,,1.48,1.84,1.68,1.4,1.51,1.36,0.82,1.03,1.29,0.72,1.0,1.05,,1.13,0.83
h_0,1.72,2.09,1.69,1.39,1.64,1.45,,1.54,1.03,0.9,1.01,0.95,,1.01,0.81,1.06
a_0,1.77,1.8,2.17,1.69,1.76,,1.29,,1.2,1.08,0.91,,0.99,1.0,,0.83
e_0,2.03,,1.52,1.56,1.82,1.51,1.24,1.01,1.47,1.29,1.03,0.88,1.23,,1.0,0.87
g_0,2.01,1.81,1.62,2.81,1.48,1.8,1.0,,1.09,1.08,0.83,1.21,0.94,1.21,1.14,
