,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.71,2.45,1.16,1.1,1.21,1.13,4.25,3.81,5.27,6.08,6.43,2.08,9.44,4.9,4.42,7.46
e_1,1.52,5.8,1.12,1.49,1.19,1.32,5.06,3.99,11.21,6.26,5.65,6.36,7.97,7.04,2.94,9.36
d_1,1.45,1.13,6.5,1.09,1.18,1.17,4.9,4.93,2.79,12.05,7.99,6.98,10.07,7.29,8.13,10.69
c_1,1.25,1.08,1.2,6.62,2.44,1.18,4.48,5.45,6.07,1.76,4.21,5.7,8.75,6.01,6.47,7.87
b_1,1.17,1.12,1.3,1.51,7.38,2.59,4.32,4.28,6.26,5.63,2.73,7.2,10.29,5.34,6.08,8.2
a_1,1.47,1.2,1.59,1.49,1.0,11.22,4.86,4.51,6.69,5.8,5.91,7.23,9.39,3.64,7.13,9.58
h_1,2.18,1.47,1.86,1.47,1.47,1.2,15.86,7.72,7.1,8.19,7.3,8.15,5.74,6.41,8.68,14.81
g_1,1.14,1.04,2.91,1.61,1.8,1.07,5.91,19.57,5.49,7.24,7.76,12.11,9.56,8.43,9.4,6.88
d_0,1.67,1.35,0.79,3.11,1.66,1.64,6.19,5.21,14.95,5.17,6.19,8.28,10.17,8.14,7.62,11.13
c_0,1.81,1.65,2.01,0.94,1.19,1.35,5.58,7.0,7.02,16.11,15.56,7.52,13.35,11.06,8.01,13.63
b_0,1.59,1.84,1.92,1.55,0.74,1.24,5.33,6.36,8.27,8.1,17.88,7.51,11.55,19.67,7.45,13.79
f_0,0.74,1.18,1.97,2.0,1.77,1.85,6.49,6.79,7.46,6.58,7.42,20.55,12.06,9.84,18.99,15.28
h_0,2.23,1.47,1.82,1.48,1.48,1.51,3.46,8.72,6.53,6.85,7.79,8.38,6.6,6.88,8.75,15.96
a_0,1.73,1.49,1.73,1.63,1.92,1.0,6.78,5.78,8.91,7.34,8.7,7.82,13.33,23.32,9.71,13.33
e_0,1.76,0.72,1.66,1.71,2.0,1.71,7.23,7.65,6.06,8.22,7.68,8.53,13.91,8.65,25.81,11.12
g_0,1.41,1.48,2.46,1.74,1.29,1.49,5.53,4.59,6.49,6.94,9.65,12.83,12.84,8.63,10.05,6.88
