,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.07,3.36,2.71,3.3,3.14,2.43,0.89,1.11,1.33,0.89,0.82,1.96,0.62,0.8,0.71,0.94
e_1,2.36,1.07,3.22,3.37,3.2,2.97,1.17,1.38,1.11,0.94,0.93,1.15,0.76,0.73,0.85,1.69
d_1,3.5,3.83,1.07,3.11,3.66,2.82,1.2,2.07,0.76,1.28,0.88,0.86,0.62,1.03,0.54,0.87
c_1,3.45,3.48,4.82,1.07,3.57,3.12,1.17,0.58,1.61,1.54,0.99,1.01,0.9,0.92,0.61,0.72
b_1,4.17,4.12,3.83,2.41,1.07,5.16,1.65,1.23,1.28,1.23,2.14,1.11,0.79,0.9,0.93,0.78
a_1,6.9,5.16,5.71,5.69,2.62,1.07,3.68,1.64,3.37,1.3,2.01,1.49,1.47,2.76,1.04,1.34
h_1,8.76,8.26,7.62,8.22,7.11,4.04,1.38,1.83,3.06,2.38,2.06,1.91,2.45,1.73,1.68,1.92
d_0,9.38,4.92,21.89,12.65,7.53,6.97,3.94,1.63,3.55,2.91,2.88,2.49,2.02,2.1,2.22,2.48
g_1,8.8,9.08,10.29,8.21,9.21,5.72,2.55,2.96,1.39,2.55,2.69,2.65,1.86,2.43,3.84,2.16
c_0,9.73,9.77,5.13,21.54,9.38,8.8,3.79,2.88,3.2,1.63,3.11,2.53,2.49,2.26,2.28,2.72
b_0,11.64,8.28,8.45,11.81,16.91,6.71,4.19,2.78,3.39,1.76,1.66,2.35,2.24,3.08,2.01,1.9
f_0,19.14,8.35,10.93,8.77,10.15,9.76,4.76,2.84,2.35,2.73,2.91,1.6,2.24,2.62,1.7,2.73
h_0,12.4,12.12,13.28,13.51,14.97,8.28,7.7,4.17,4.31,3.17,3.57,3.25,4.89,3.04,2.81,2.44
a_0,12.58,17.12,10.09,12.47,16.63,17.7,6.24,4.96,5.03,3.71,2.27,3.56,2.99,1.72,3.94,4.08
g_0,14.91,12.38,16.38,16.28,12.87,13.57,4.59,4.04,,3.83,4.5,4.72,2.77,3.09,5.11,2.85
e_0,17.6,18.23,13.33,16.56,16.01,11.76,5.06,3.67,5.15,4.05,4.05,2.13,3.51,3.77,3.26,1.7
