,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.44,1.63,1.94,2.07,2.08,2.28,0.43,0.35,0.58,0.37,0.33,0.78,0.19,0.38,0.34,0.36
e_1,1.06,0.43,2.29,2.55,2.32,1.97,0.65,0.44,0.65,0.48,0.43,0.61,0.33,0.47,0.32,1.02
d_1,2.55,2.61,0.42,1.93,1.78,1.86,0.49,0.43,0.4,1.08,0.48,0.39,0.3,0.31,0.19,0.37
c_1,2.41,1.74,2.29,0.42,1.8,1.89,0.7,0.85,0.6,0.24,0.41,0.37,0.29,0.43,0.31,0.36
b_1,2.93,2.62,2.09,1.16,0.38,2.47,0.73,0.65,0.7,0.55,1.64,0.47,0.46,0.49,0.34,0.42
a_1,2.55,3.84,3.64,2.74,1.42,0.32,0.74,0.68,0.95,0.75,0.69,0.57,0.44,1.36,0.53,0.6
h_1,3.86,2.97,2.94,3.22,3.14,3.12,0.33,0.65,0.93,0.71,0.8,0.61,0.93,0.65,0.5,0.71
c_0,4.14,3.9,1.83,8.38,4.32,3.49,1.19,0.39,1.03,1.24,0.8,0.71,0.55,0.82,0.51,0.6
g_1,4.1,3.83,3.94,4.28,4.69,3.01,0.8,0.57,0.3,0.73,0.78,0.65,0.36,0.86,0.73,0.9
d_0,4.16,1.91,9.11,4.07,4.12,4.04,1.06,0.74,1.26,0.39,0.76,0.78,0.61,0.69,0.57,0.73
b_0,3.96,3.79,3.63,6.07,9.5,3.25,1.09,0.41,1.21,0.77,0.34,0.75,0.57,0.93,0.61,0.87
f_0,8.86,3.86,3.76,4.5,3.76,3.54,1.28,0.73,0.77,0.84,0.74,0.35,0.6,0.93,0.34,0.71
h_0,4.39,4.28,4.44,4.19,4.64,3.74,2.51,0.9,1.53,0.95,0.84,0.93,0.97,0.82,0.66,0.79
a_0,5.61,3.84,4.79,5.74,5.21,8.52,1.79,0.86,1.33,0.86,0.47,0.84,0.8,0.34,0.89,1.09
g_0,4.92,4.78,5.02,4.61,5.74,4.64,0.91,1.17,2.76,0.85,0.93,1.33,0.61,0.92,1.21,0.86
e_0,8.07,8.71,3.9,5.34,5.16,5.1,1.64,0.94,1.35,0.87,1.24,0.44,1.03,1.02,0.55,0.32
