,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.65,0.98,0.94,0.88,0.93,0.79,0.35,0.35,0.35,0.41,0.31,0.31,0.29,0.22,0.26,0.28
c_1,0.97,0.64,0.8,1.11,1.17,0.84,0.37,0.25,0.37,0.44,0.29,0.32,0.31,0.28,0.32,0.27
e_1,0.77,1.08,0.64,1.01,0.89,0.85,0.46,0.46,0.36,0.44,0.37,0.42,0.31,0.3,0.39,0.33
b_1,1.12,0.71,0.97,0.63,1.05,1.14,0.49,0.32,0.45,0.48,0.44,0.36,0.35,0.3,0.33,0.3
d_1,1.03,0.96,1.16,0.95,0.62,0.89,0.44,0.48,0.41,0.3,0.4,0.37,0.4,0.29,0.32,0.22
a_1,1.27,1.23,1.36,0.75,1.17,0.57,0.59,0.56,0.45,0.58,0.5,0.41,0.5,0.35,0.41,0.35
h_1,1.69,1.8,1.44,1.54,1.54,1.33,0.53,0.61,0.61,0.82,0.56,0.56,0.52,0.59,0.5,0.46
d_0,1.78,2.01,1.15,1.84,1.89,1.45,0.78,0.55,0.6,0.75,0.53,0.59,0.53,0.48,0.64,0.48
c_0,1.86,2.42,1.81,1.72,1.18,1.5,0.84,0.91,0.53,0.67,0.7,0.61,0.75,0.54,0.64,0.44
g_1,1.68,1.76,1.72,1.61,1.9,1.39,0.6,0.67,0.7,0.51,0.6,0.66,0.55,0.42,0.61,0.53
b_0,1.85,2.58,1.77,2.18,1.57,1.61,0.87,0.88,0.48,0.75,0.52,0.64,0.72,0.52,0.61,0.48
f_0,2.5,2.14,1.87,1.83,1.54,1.6,0.84,0.72,0.68,0.62,0.69,0.52,0.69,0.59,0.72,0.39
a_0,2.11,2.43,2.02,2.56,1.79,2.06,1.01,0.87,0.61,0.93,0.47,0.74,0.51,0.62,0.67,0.57
h_0,2.13,2.15,1.97,2.17,2.09,1.78,0.94,0.73,0.71,0.85,0.69,0.68,0.66,0.65,0.64,0.56
e_0,2.82,2.21,2.86,1.96,2.03,1.85,1.04,0.78,0.79,0.87,0.81,0.48,0.74,0.64,0.51,0.48
g_0,2.22,2.24,2.07,2.19,2.25,1.86,0.87,0.85,0.81,1.07,0.77,0.84,0.82,0.54,0.74,0.66
