,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.4,1.13,0.8,0.77,0.72,0.66,1.34,1.29,1.57,1.7,1.73,0.89,2.11,1.71,1.32,1.99
e_1,0.73,2.44,0.87,0.66,0.83,0.61,1.55,1.66,2.7,1.79,1.79,1.84,1.81,1.65,0.73,2.26
c_1,0.74,0.61,2.52,0.91,1.11,0.84,1.51,1.54,1.49,0.57,1.68,1.71,2.11,1.5,1.93,2.08
d_1,0.87,0.74,0.69,2.53,0.84,0.73,1.47,1.39,0.78,2.57,2.1,1.65,2.41,1.63,1.75,1.44
b_1,0.78,0.69,0.7,0.74,2.71,1.25,1.53,1.54,1.86,1.98,0.57,1.8,1.97,1.67,1.78,2.28
a_1,0.79,1.02,0.63,0.94,0.58,3.29,1.69,1.51,1.58,1.61,1.76,1.64,2.01,,1.73,1.67
h_1,1.19,0.99,1.02,1.12,0.99,0.87,3.85,2.22,2.05,2.08,2.14,2.02,1.72,2.26,2.14,3.7
g_1,0.97,0.66,1.03,1.39,0.96,0.99,1.8,4.35,2.07,2.14,2.35,3.71,2.23,2.89,2.99,1.95
d_0,1.07,0.92,1.72,0.59,0.85,1.05,1.82,1.99,3.62,1.96,2.17,2.52,2.7,2.02,2.36,3.08
c_0,1.07,1.06,0.8,0.99,0.85,1.22,2.2,1.97,2.48,3.73,3.61,2.1,3.23,2.77,2.53,2.83
b_0,1.14,1.06,1.08,0.99,0.72,0.96,1.96,2.11,2.23,2.1,4.01,2.51,3.39,3.79,2.78,3.39
f_0,0.67,0.84,1.27,1.03,1.07,1.11,2.15,1.84,2.46,2.59,1.84,4.23,3.0,1.98,4.19,3.13
h_0,1.4,1.08,1.11,0.93,0.95,0.85,0.9,2.6,2.11,1.68,1.94,2.11,1.64,2.21,1.86,3.26
a_0,1.08,1.17,1.15,1.04,1.13,,2.09,1.41,1.84,2.0,2.06,1.96,2.63,4.66,1.56,2.53
e_0,1.21,0.63,0.99,1.0,1.19,1.14,2.19,1.96,2.57,2.14,2.05,2.3,4.04,2.64,4.87,2.83
g_0,1.04,0.96,1.12,1.45,0.9,1.07,1.6,1.26,1.96,1.79,1.59,2.42,2.52,2.31,2.23,1.85
