,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,35.43,0.06,0.06,0.07,0.06,0.05,0.29,0.76,0.3,0.39,0.41,0.38,0.42,0.24,,0.69
f_1,0.13,35.77,0.07,0.06,0.06,0.04,0.28,0.38,0.29,0.4,0.38,,0.58,0.36,0.38,0.61
c_1,0.05,0.06,43.38,0.07,0.12,0.11,0.33,0.48,0.33,,0.27,0.35,0.44,0.39,0.43,0.6
d_1,0.05,0.09,0.05,44.23,0.07,0.07,0.36,,0.36,0.69,0.33,0.32,0.57,0.45,0.31,0.37
b_1,0.07,0.06,0.09,0.07,49.12,0.12,0.22,0.34,0.23,0.34,,0.4,0.8,0.26,0.27,0.62
a_1,0.09,0.07,0.08,0.08,0.06,68.87,0.27,0.34,0.4,0.36,0.24,0.33,0.46,,,0.55
h_1,0.24,0.43,0.26,0.27,0.26,0.21,28.85,1.44,1.33,1.47,1.44,1.19,,2.1,1.11,2.11
d_0,0.25,0.36,0.76,,0.4,0.3,1.72,15.92,1.33,1.88,1.55,2.25,3.68,1.98,2.11,2.8
g_1,0.18,0.23,0.19,0.47,0.33,0.22,0.6,1.98,34.19,1.92,1.98,1.35,2.27,,1.11,
c_0,0.33,0.31,,0.44,0.25,0.38,1.38,1.44,1.13,19.89,4.62,1.53,3.16,1.79,1.57,3.2
b_0,0.39,0.31,0.3,0.33,,0.41,2.68,1.24,1.39,1.85,19.32,1.88,2.98,3.99,1.34,3.92
f_0,0.3,,0.35,0.34,0.43,0.36,1.14,2.55,1.15,1.33,2.55,20.97,3.04,2.03,5.7,2.52
h_0,0.57,0.92,0.55,0.47,0.53,0.58,,2.52,2.21,2.11,3.67,3.97,,1.97,3.69,5.24
a_0,0.31,0.36,0.38,0.37,0.28,,1.39,2.2,1.27,2.01,1.66,2.9,3.16,29.39,2.32,2.17
e_0,,0.3,0.36,0.35,0.36,0.38,1.84,2.04,1.53,1.26,1.86,2.03,4.61,2.14,33.5,3.12
g_0,0.57,0.29,0.38,0.63,0.62,0.45,2.48,2.52,,3.04,1.64,6.5,6.82,3.43,,
