,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,2.89,0.62,0.52,0.6,1.18,0.41,0.92,0.82,0.87,0.26,1.02,0.67,0.97,0.97,0.8,0.86
f_1,0.65,2.88,0.72,1.09,0.48,0.41,0.87,0.87,0.75,0.85,0.32,1.01,0.88,0.48,0.99,0.76
d_1,0.48,0.68,3.07,0.49,0.56,0.53,1.0,0.95,0.42,1.91,1.11,1.3,0.99,1.16,1.06,1.03
e_1,0.71,0.63,0.5,3.06,0.63,0.59,0.74,0.85,1.82,0.85,0.97,0.99,1.07,0.43,0.95,1.11
b_1,0.57,0.63,0.56,0.62,3.24,1.36,0.97,0.71,0.9,0.78,0.95,0.29,0.91,0.93,0.78,0.82
a_1,0.8,0.63,0.57,0.5,0.53,4.99,0.84,1.0,0.95,0.92,0.97,0.87,0.97,1.31,0.4,1.06
h_1,0.71,1.06,0.8,0.67,0.59,0.8,2.94,1.35,0.95,1.24,1.04,1.19,0.69,1.1,1.28,1.46
g_1,0.63,0.64,1.26,0.65,0.66,0.54,1.16,3.52,0.98,1.16,1.9,1.09,1.11,1.36,1.09,0.71
d_0,1.54,0.72,0.38,0.75,0.72,0.7,0.91,0.97,2.29,0.77,1.25,1.08,1.1,1.11,1.08,1.1
c_0,0.46,0.83,0.96,0.67,0.53,0.73,1.15,1.16,1.04,2.51,1.34,2.64,1.28,1.4,1.33,1.55
f_0,0.86,0.42,0.99,0.65,0.74,0.83,1.11,1.03,0.91,1.2,2.74,1.33,1.15,2.3,1.34,1.26
b_0,0.76,0.98,0.84,0.76,0.34,0.51,1.09,1.23,1.17,1.16,1.04,2.73,1.49,1.45,2.24,1.32
h_0,0.71,1.03,0.85,0.73,0.67,0.68,0.65,1.73,1.17,1.12,1.08,1.11,0.74,1.17,1.23,1.71
e_0,0.85,0.94,0.92,0.27,0.83,0.72,1.38,1.2,0.88,0.89,1.14,1.26,1.41,3.94,1.25,1.16
a_0,0.86,0.8,1.03,0.65,0.62,0.4,1.23,1.04,1.07,0.96,0.79,0.88,1.29,1.03,3.45,1.29
g_0,0.83,0.62,1.25,0.64,0.73,0.57,0.98,0.67,1.09,1.21,1.61,1.15,1.29,1.15,1.12,0.81
