,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.77,0.84,1.01,0.91,1.15,1.04,1.57,1.07,0.95,1.18,1.06,1.19,1.21,1.06,1.44
f_1,1.3,1.0,0.93,0.99,1.06,0.92,0.94,0.94,1.01,1.07,0.8,0.82,0.92,0.82,1.03,0.64
d_1,1.18,1.08,1.0,0.84,0.92,1.01,1.0,1.01,0.77,1.4,0.96,1.0,1.02,0.97,0.78,1.01
c_1,0.99,1.01,1.18,1.0,1.41,0.83,0.97,0.67,1.09,0.77,0.96,0.87,0.89,0.97,0.76,0.91
b_1,1.1,0.94,1.09,0.71,1.0,1.46,1.07,0.78,1.18,0.8,1.51,1.15,1.0,1.31,0.99,1.2
a_1,0.87,1.09,0.99,1.2,0.68,1.0,1.12,1.02,1.08,0.98,1.16,1.0,1.12,1.07,1.48,0.99
h_1,0.96,1.08,1.02,1.03,0.94,0.86,1.0,0.86,1.21,1.05,1.0,1.02,0.92,0.85,1.09,1.11
d_0,0.59,1.13,0.9,1.5,1.3,1.03,1.15,1.0,1.08,0.81,0.98,0.93,0.85,0.94,0.97,1.06
g_1,0.91,0.94,1.28,0.95,0.86,0.92,0.82,0.89,1.0,1.04,0.95,1.38,1.03,0.76,1.32,1.09
c_0,1.07,0.96,0.74,1.28,1.29,0.93,0.99,1.2,0.95,1.0,1.38,1.11,0.93,1.17,1.2,0.97
b_0,0.82,1.3,1.09,1.09,,0.8,1.01,1.08,1.06,0.68,1.0,0.94,1.25,0.99,1.0,1.15
f_0,0.92,1.33,1.0,1.13,0.88,0.94,0.97,1.1,0.72,0.87,1.0,1.0,1.09,1.05,0.91,1.59
a_0,0.81,1.1,0.97,1.23,1.06,,1.06,1.25,1.01,1.11,0.76,0.91,1.0,1.12,1.04,1.16
h_0,0.83,1.25,1.02,1.05,0.82,0.97,1.12,1.08,1.32,0.83,0.98,0.91,0.91,1.0,1.29,0.9
g_0,0.95,0.98,1.23,1.29,0.97,0.67,0.92,1.0,,0.8,1.02,1.13,0.96,0.79,1.0,0.86
e_0,0.68,1.53,0.99,1.04,0.91,0.96,0.93,0.95,0.9,1.05,0.9,0.65,0.9,1.1,1.1,1.0
