,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,0.44,1.96,1.88,1.99,1.74,1.71,0.44,0.42,0.81,0.32,0.83,0.39,0.38,0.23,0.44,0.35
e_1,1.11,0.44,1.67,2.58,2.59,2.14,0.62,0.45,0.62,0.47,0.49,0.46,0.36,0.33,0.78,0.32
d_1,2.02,2.58,0.42,2.3,1.92,2.03,0.54,1.08,0.34,0.44,0.38,0.35,0.33,0.24,0.38,0.17
c_1,2.13,1.76,2.96,0.41,2.2,2.01,0.61,0.21,0.7,1.06,0.36,0.44,0.44,0.26,0.38,0.29
b_1,2.75,2.02,2.92,1.21,0.39,2.18,0.69,0.53,0.67,0.59,0.54,0.96,0.51,0.39,0.41,0.44
a_1,3.48,2.62,2.5,2.97,1.49,0.32,1.01,0.78,0.77,0.64,0.6,1.07,3.58,0.45,0.47,0.46
h_1,3.51,3.06,3.0,3.38,3.45,3.12,0.34,0.66,0.87,0.56,0.64,0.57,0.57,0.93,0.61,0.44
d_0,4.41,1.92,6.55,3.76,4.15,3.43,1.2,0.41,1.22,0.87,0.76,0.8,0.79,0.56,0.77,0.67
g_1,3.97,3.92,3.77,3.65,3.89,3.56,0.73,0.94,0.3,0.71,0.7,0.9,0.66,0.43,0.78,0.96
c_0,4.09,3.8,1.94,9.4,4.99,3.46,1.01,1.02,1.34,0.38,0.68,0.8,0.79,0.6,0.76,0.62
f_0,8.93,3.66,3.73,3.91,3.44,3.52,1.35,0.91,0.85,0.64,0.36,0.83,0.62,0.58,0.87,0.32
b_0,4.45,3.7,3.18,5.76,10.46,3.65,1.23,0.82,1.06,0.41,0.7,0.35,0.85,0.67,0.9,0.6
a_0,6.75,4.31,4.46,5.3,6.29,8.11,1.38,1.06,1.27,0.69,0.76,0.44,0.36,0.74,0.84,0.59
h_0,4.11,4.83,4.75,4.79,4.51,4.66,1.88,1.0,1.33,0.88,0.89,0.94,0.9,1.47,0.89,0.7
e_0,7.43,10.0,3.71,4.12,4.53,5.47,1.67,0.87,1.36,0.88,0.44,1.05,0.82,0.64,0.33,0.57
g_0,5.34,5.27,4.98,4.74,5.07,6.19,1.08,0.96,2.19,1.02,1.13,1.14,0.94,0.55,1.0,1.34
