,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.41,0.99,0.81,0.84,0.9,0.81,0.36,0.38,0.42,0.35,0.39,0.53,0.26,0.41,0.41,0.37
e_1,0.57,0.41,0.87,1.03,0.99,0.84,0.57,0.44,0.57,0.4,0.38,0.43,0.34,0.4,0.4,0.72
d_1,0.92,1.01,0.4,0.83,0.84,0.82,0.46,0.73,0.32,0.43,0.39,0.36,0.34,0.37,0.25,0.37
c_1,0.92,0.66,1.19,0.39,0.95,0.85,0.43,0.25,0.53,0.49,0.38,0.4,0.35,0.41,0.28,0.41
b_1,0.94,0.89,0.92,0.58,0.36,1.14,0.52,0.45,0.56,0.54,0.65,0.37,0.31,0.36,0.37,0.43
a_1,1.04,1.03,0.8,0.88,0.53,0.3,0.56,0.46,0.49,0.44,0.51,0.43,0.42,0.62,0.3,0.4
h_1,0.98,0.72,0.77,0.83,0.8,0.63,0.26,0.34,0.48,0.35,0.3,0.3,0.4,0.33,0.36,0.27
d_0,0.77,0.47,1.2,1.07,0.8,0.76,0.44,0.26,0.54,0.34,0.33,0.35,0.37,0.31,0.34,0.41
g_1,0.99,0.76,0.9,0.73,0.73,0.74,0.35,0.42,0.22,0.38,0.35,0.38,0.22,0.31,0.4,0.33
c_0,1.09,0.75,0.48,1.44,0.72,0.74,0.42,0.42,0.4,0.25,0.41,0.31,0.32,0.4,0.33,0.36
b_0,0.85,0.76,0.69,0.94,1.32,0.58,0.49,0.41,0.39,0.21,0.24,0.33,0.3,0.4,0.29,0.29
f_0,1.13,0.72,0.76,0.74,0.84,0.78,0.52,0.35,0.31,0.33,0.34,0.23,0.33,0.32,0.21,0.45
h_0,0.85,0.8,0.73,0.68,0.82,0.73,0.57,0.34,0.47,0.34,0.36,0.31,0.37,0.31,0.31,0.29
a_0,0.75,0.77,0.79,0.76,0.97,0.85,0.46,0.4,0.46,0.29,0.21,0.33,0.34,0.21,0.28,0.38
g_0,0.73,0.72,0.83,0.92,0.77,0.82,0.32,0.31,0.53,0.32,0.34,0.39,0.24,0.35,0.38,0.39
e_0,0.79,1.03,0.75,0.75,0.73,0.85,0.48,0.35,0.45,0.32,0.33,0.22,0.36,0.43,0.3,0.19
