,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.07,3.14,3.59,3.02,3.36,2.89,0.95,1.4,0.9,1.03,0.92,1.76,0.6,0.9,0.77,0.76
d_1,3.43,1.07,3.75,2.94,3.07,2.97,1.44,0.85,1.02,2.47,0.93,0.95,0.71,0.9,0.86,0.49
e_1,2.19,3.79,1.07,3.93,3.32,4.08,1.32,1.38,1.07,1.24,0.97,1.21,0.82,0.9,1.96,0.81
c_1,3.7,4.71,3.31,1.07,4.12,2.63,1.13,1.25,1.65,0.67,1.03,0.87,0.94,0.77,0.99,0.74
b_1,3.8,4.18,4.06,2.23,1.07,3.67,1.77,1.36,1.47,1.43,3.36,1.16,0.91,1.37,1.22,0.95
a_1,6.56,5.14,5.4,6.85,2.97,1.07,2.16,1.84,1.77,1.26,1.56,1.52,1.31,3.88,1.29,1.2
h_1,9.29,6.5,7.62,8.3,8.57,5.8,1.38,3.82,2.56,2.15,2.36,2.93,4.17,2.53,1.9,2.22
g_1,9.52,8.8,8.01,9.01,9.06,6.84,2.59,1.38,2.33,2.59,2.31,2.65,1.39,2.09,2.01,2.86
c_0,10.01,5.52,8.58,21.21,10.13,6.69,3.35,3.44,1.59,3.18,2.79,2.86,1.96,2.09,2.1,1.73
d_0,8.84,13.9,5.29,11.93,7.99,9.51,3.39,3.25,2.51,1.61,2.81,2.31,1.88,2.63,1.97,2.1
b_0,10.59,8.55,9.5,11.87,16.69,7.85,2.95,3.23,1.86,2.32,1.63,2.24,2.19,3.39,2.1,1.98
f_0,20.06,8.67,8.12,10.23,10.76,7.22,3.35,2.7,2.5,3.17,3.77,1.64,2.62,2.97,3.93,1.48
h_0,14.07,12.03,10.38,11.37,10.78,7.93,7.07,5.72,3.27,3.97,3.05,2.75,4.38,3.08,3.11,3.08
a_0,13.74,11.14,11.6,13.6,10.88,,4.15,4.79,3.81,3.55,2.0,2.96,3.2,1.61,2.78,3.01
e_0,17.3,11.13,15.9,13.8,10.68,10.14,4.84,4.28,3.85,4.1,3.68,1.69,3.02,4.01,1.64,2.35
g_0,14.02,17.78,13.22,15.38,10.92,11.43,3.74,7.52,3.83,4.58,3.83,4.27,2.53,4.17,4.29,
