,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,5.72,3.65,2.49,2.03,1.92,1.96,7.56,10.48,7.2,9.54,10.23,6.21,14.61,8.17,11.53,12.79
e_1,2.58,5.79,2.58,1.77,2.1,2.02,8.11,17.84,9.15,10.15,11.86,11.65,17.11,7.43,12.7,15.58
c_1,2.12,2.12,6.48,2.25,4.12,2.48,7.58,8.55,7.88,4.67,7.38,9.44,13.33,10.65,8.98,15.69
d_1,2.38,2.27,1.76,7.34,2.02,1.85,9.1,6.34,8.17,20.82,13.27,10.53,16.51,12.53,12.6,17.19
b_1,2.1,1.98,2.2,2.3,7.66,4.8,6.71,9.61,6.67,9.91,6.28,10.94,17.2,12.74,8.19,16.06
a_1,2.52,2.1,2.21,2.4,2.05,10.49,8.45,9.7,8.02,9.01,11.62,11.96,19.64,13.13,8.95,19.07
h_1,3.23,2.31,2.48,2.48,2.47,2.06,17.3,10.07,11.17,11.39,10.96,12.05,11.74,14.5,10.97,21.87
d_0,2.8,2.14,4.4,1.72,2.53,1.94,9.53,17.37,9.78,7.69,11.24,9.94,18.03,13.26,12.95,17.64
g_1,2.45,1.86,2.41,3.98,2.53,2.3,9.22,8.8,22.11,12.13,11.56,18.02,16.36,14.24,11.66,14.91
c_0,2.9,2.52,2.06,2.68,1.68,2.26,9.46,10.62,9.83,19.87,23.86,12.88,17.28,12.57,16.55,17.0
b_0,3.09,2.57,2.57,2.74,1.87,1.82,9.91,12.07,9.82,11.44,21.95,11.99,17.61,13.69,26.17,19.08
f_0,2.01,1.86,2.96,2.7,2.64,2.73,9.3,12.0,10.03,10.76,13.08,23.06,18.99,27.4,9.85,20.52
h_0,3.19,2.29,2.78,2.45,2.72,2.2,6.94,9.92,11.26,11.35,11.97,10.53,12.59,13.52,10.59,23.56
e_0,2.84,1.64,3.14,2.47,2.72,2.85,11.46,9.33,9.12,11.27,10.2,13.11,18.76,28.31,11.59,19.98
a_0,2.73,2.5,2.8,2.16,2.61,1.74,9.44,11.84,10.95,10.96,12.45,12.34,21.02,14.49,28.75,20.21
g_0,1.96,2.09,2.63,3.66,2.65,2.26,9.26,10.31,7.57,11.59,12.72,19.76,17.28,15.61,12.0,15.0
