,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.02,1.1,1.18,1.84,2.81,15.81,18.79,38.18,25.4,,48.5,58.15,63.42,73.34,81.12
f_1,0.98,1.0,1.44,1.07,1.37,2.54,15.47,22.38,24.77,33.62,31.48,,47.8,57.14,69.83,109.89
e_1,0.91,0.7,1.0,1.06,1.68,2.71,19.2,24.58,23.18,28.35,43.5,40.22,60.92,64.94,,106.55
c_1,0.85,0.93,0.94,1.0,1.59,1.53,13.2,18.1,,20.54,21.7,35.53,46.9,55.86,53.54,103.92
b_1,0.54,0.73,0.6,0.63,1.0,3.28,11.55,11.8,19.3,,20.41,21.21,41.88,51.2,,53.36
a_1,0.36,0.39,0.37,0.65,0.31,1.0,7.59,7.78,8.8,14.95,14.14,15.38,30.14,,27.03,33.38
h_1,0.06,0.06,0.05,0.08,0.09,0.13,1.0,1.83,1.41,1.69,1.47,2.35,,3.17,4.09,7.41
g_1,0.05,0.04,0.04,0.06,0.08,0.13,0.55,1.0,0.91,1.27,1.48,1.96,2.95,2.8,2.52,
c_0,0.03,0.04,0.04,,0.05,0.11,0.71,1.1,1.0,1.63,1.29,2.24,2.55,3.12,2.98,4.18
b_0,0.04,0.03,0.04,0.05,,0.07,0.59,0.79,0.62,1.0,1.32,1.57,1.58,3.17,2.36,3.16
d_0,,0.03,0.02,0.05,0.05,0.07,0.68,0.68,0.77,0.76,1.0,1.55,1.99,2.3,2.48,2.86
f_0,0.02,,0.02,0.03,0.05,0.07,0.43,0.51,0.45,0.64,0.65,1.0,1.41,1.1,,1.81
h_0,0.02,0.02,0.02,0.02,0.02,0.03,,0.34,0.39,0.63,0.5,0.71,,0.93,1.28,1.94
a_0,0.02,0.02,0.02,0.02,0.02,,0.32,0.36,0.32,0.32,0.43,0.91,1.08,1.0,,2.38
e_0,0.01,0.01,,0.02,,0.04,0.24,0.4,0.34,0.42,0.4,,0.78,,1.0,1.43
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.13,,0.24,0.32,0.35,0.55,0.51,0.42,0.7,
