,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,0.88,1.18,0.98,0.87,0.6,0.43,0.46,0.45,0.39,0.4,0.34,0.3,0.33,0.23,0.29
d_1,1.16,1.0,1.05,0.8,0.83,0.75,0.51,0.44,0.38,0.58,0.44,0.38,0.37,0.34,0.34,0.27
e_1,0.85,0.94,1.0,1.17,0.89,0.72,0.49,0.62,0.48,0.41,0.44,0.49,0.36,0.34,0.38,0.35
c_1,1.04,1.27,0.85,1.0,1.3,0.89,0.47,0.32,0.43,0.39,0.35,0.36,0.37,0.33,0.31,0.34
b_1,1.14,1.18,1.09,0.79,1.0,1.11,0.6,0.47,0.51,0.52,0.43,0.42,0.4,0.33,0.34,0.38
a_1,1.6,1.33,1.34,1.15,0.92,1.0,0.72,0.6,0.65,0.54,0.56,0.49,0.52,0.44,0.43,0.38
h_1,2.31,1.88,2.05,2.21,1.69,1.41,1.0,0.87,0.99,0.76,0.81,0.73,0.72,0.6,0.6,0.77
d_0,2.21,2.3,1.65,3.01,2.23,1.71,1.16,1.0,1.0,0.72,0.89,0.88,0.81,0.72,0.75,0.72
g_1,2.27,2.62,2.04,2.3,2.0,1.53,1.03,0.93,1.0,0.96,0.92,0.93,0.72,0.81,0.7,0.78
c_0,2.51,1.75,2.51,2.58,1.79,1.84,1.28,1.36,1.07,1.0,1.38,0.96,0.87,0.84,0.79,0.74
b_0,2.38,2.26,2.29,2.83,2.35,1.61,1.24,1.07,1.1,0.77,1.0,0.95,0.96,1.12,0.92,0.79
f_0,2.79,2.48,2.19,2.75,2.4,2.05,1.33,1.11,1.05,1.02,1.05,1.0,0.94,0.81,1.17,0.69
h_0,3.37,2.69,2.8,2.81,2.36,1.84,1.36,1.21,1.42,1.09,1.09,1.03,1.0,0.87,0.82,1.01
a_0,2.97,2.87,2.79,2.97,3.14,2.49,1.7,1.35,1.27,1.21,0.96,1.21,1.15,1.0,0.97,1.0
e_0,4.04,2.95,2.79,3.27,3.04,2.24,1.6,1.32,1.42,1.25,1.12,0.85,1.27,1.08,1.0,0.88
g_0,3.4,3.59,2.85,3.03,2.63,2.54,1.32,1.37,1.28,1.33,1.29,1.33,0.97,0.96,1.14,1.0
