,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.47,1.05,0.91,1.03,0.87,0.48,0.66,0.62,0.56,0.51,,0.57,0.55,0.49,0.61
e_1,0.68,1.0,0.99,1.01,1.05,0.97,0.74,0.98,0.64,0.66,0.45,0.59,0.5,0.75,,0.56
d_1,0.95,1.01,1.0,1.13,0.94,1.12,0.6,,0.91,0.58,0.6,0.64,0.58,0.59,0.57,0.42
c_1,1.1,0.99,0.88,1.0,1.46,0.99,0.87,0.5,,0.67,0.52,0.63,0.56,0.61,0.59,0.59
b_1,0.98,0.95,1.06,0.68,1.0,1.24,0.67,0.79,0.85,0.78,,0.43,0.66,0.62,0.51,0.56
a_1,1.15,1.03,0.89,1.02,0.8,1.0,1.2,0.78,0.69,0.88,0.67,0.77,0.79,,,0.9
h_1,2.07,1.35,1.67,1.15,1.49,0.83,1.0,0.8,0.88,1.16,1.03,0.75,,0.66,0.73,1.03
d_0,1.52,1.02,,2.0,1.27,1.28,1.24,1.0,0.8,1.09,0.99,1.05,1.03,0.74,0.8,0.84
c_0,1.62,1.57,1.1,,1.17,1.45,1.14,1.26,1.0,0.99,1.35,0.88,0.81,0.77,0.79,0.72
g_1,1.78,1.5,1.74,1.5,1.28,1.14,0.86,0.92,1.01,1.0,0.87,1.55,1.0,0.82,,
b_0,1.95,2.22,1.66,1.94,,1.49,0.97,1.01,0.74,1.14,1.0,0.85,0.69,1.24,0.93,0.71
f_0,,1.69,1.56,1.58,2.34,1.29,1.34,0.96,1.14,0.65,1.18,1.0,1.01,0.68,,0.72
h_0,1.77,1.98,1.73,1.78,1.51,1.27,,0.97,1.23,1.0,1.44,0.99,,0.71,0.74,1.19
a_0,1.8,1.33,1.68,1.65,1.61,,1.52,1.36,1.31,1.22,0.81,1.47,1.41,1.0,,0.83
e_0,2.03,,1.76,1.71,1.98,,1.38,1.26,1.27,,1.08,,1.34,,1.0,
g_0,1.65,1.8,2.38,1.7,1.8,1.11,0.97,1.18,1.39,,1.41,1.38,0.84,1.21,,
