,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.79,1.35,1.48,1.55,4.31,24.5,27.0,34.01,40.62,36.9,58.3,84.57,69.89,,113.44
f_1,1.27,1.0,1.03,1.57,1.78,3.82,14.74,26.9,32.51,26.67,36.3,,62.45,58.35,80.33,121.0
d_1,0.74,0.97,1.0,0.93,1.42,2.64,16.44,16.54,,36.95,31.18,41.28,53.0,54.52,87.38,106.54
c_1,0.68,0.64,1.08,1.0,2.02,2.57,16.36,21.23,18.04,,24.48,39.05,53.34,41.76,74.42,103.29
b_1,0.65,0.56,0.7,0.49,1.0,2.7,12.32,18.28,18.07,15.7,,38.67,31.28,49.53,49.67,99.59
a_1,0.23,0.26,0.38,0.39,0.37,1.0,5.55,8.39,6.9,10.78,10.82,12.23,,22.13,22.74,
h_1,0.04,0.07,0.06,0.06,0.08,0.18,1.0,1.4,1.63,1.66,1.93,3.18,3.46,,4.48,7.58
g_1,0.04,0.04,0.06,0.05,0.05,0.12,0.71,1.0,1.2,1.23,1.16,3.54,2.2,2.82,3.53,
d_0,0.03,0.03,,0.06,0.06,0.14,0.61,0.84,1.0,1.25,1.13,1.59,2.63,2.84,3.06,5.13
c_0,0.02,0.04,0.03,,0.06,0.09,0.6,0.81,0.8,1.0,1.44,1.76,1.98,2.34,3.91,4.71
b_0,0.03,0.03,0.03,0.04,,0.09,0.52,0.86,0.89,0.69,1.0,1.84,2.28,2.03,2.92,3.19
f_0,0.02,,0.02,0.03,0.03,0.08,0.31,0.28,0.63,0.57,0.54,1.0,1.17,1.55,2.14,1.69
a_0,0.01,0.02,0.02,0.02,0.03,,0.29,0.45,0.38,0.51,0.44,0.86,1.0,1.13,,2.13
h_0,0.01,0.02,0.02,0.02,0.02,0.05,,0.35,0.35,0.43,0.49,0.65,0.88,,1.22,2.14
e_0,,0.01,0.01,0.01,0.02,0.04,0.22,0.28,0.33,0.26,0.34,0.47,,0.82,1.0,1.2
g_0,0.01,0.01,0.01,0.01,0.01,,0.13,,0.19,0.21,0.31,0.59,0.47,0.47,0.84,
