,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.78,0.79,1.03,0.98,0.68,0.49,0.6,0.42,0.48,0.42,0.48,0.4,0.36,0.4,0.32
f_1,1.29,1.0,0.88,1.0,0.71,0.62,0.44,0.41,0.41,0.44,0.42,0.38,0.27,0.28,0.29,0.39
d_1,1.28,1.14,1.0,0.8,0.92,0.77,0.48,0.37,0.56,0.35,0.4,0.39,0.37,0.35,0.29,0.26
c_1,0.97,0.99,1.26,1.0,1.27,0.75,0.51,0.34,0.35,0.45,0.43,0.39,0.36,0.28,0.36,0.33
b_1,1.02,1.4,1.09,0.79,1.0,1.34,0.58,0.54,0.57,0.65,0.62,0.5,0.41,0.42,0.36,0.33
a_1,1.46,1.59,1.29,1.34,0.75,1.0,0.82,0.65,0.49,0.47,0.53,0.48,0.45,0.52,0.45,0.53
h_1,2.09,2.25,2.03,1.9,1.67,1.27,1.0,0.94,0.82,1.01,0.87,0.78,0.62,0.61,0.49,0.72
d_0,1.72,2.31,2.54,2.73,2.02,1.55,1.05,1.0,0.92,1.07,0.84,0.91,0.81,0.71,0.71,0.77
c_0,2.5,2.49,1.74,2.62,1.67,2.04,1.25,1.02,1.0,1.01,1.21,0.92,0.74,0.78,0.76,0.71
g_1,1.97,2.19,2.97,2.24,1.55,2.12,1.0,0.94,0.93,1.0,0.93,1.06,0.63,0.59,0.74,0.72
b_0,2.34,2.45,2.38,2.36,1.81,1.74,1.18,1.13,0.8,1.11,1.0,0.97,0.86,1.13,0.75,0.8
f_0,2.13,2.69,2.52,2.68,1.99,2.1,1.28,1.1,1.11,0.95,0.98,1.0,0.93,0.75,1.06,0.64
h_0,2.67,3.71,2.7,2.95,2.46,2.04,1.64,1.27,1.29,1.6,1.11,1.09,1.0,0.83,0.88,1.02
a_0,2.88,3.48,3.06,3.36,2.82,1.94,1.57,1.34,1.29,1.76,0.86,1.35,1.16,1.0,0.95,0.91
e_0,2.51,4.0,3.44,2.68,2.68,2.25,2.01,1.38,1.36,1.32,1.47,0.95,1.13,1.02,1.0,1.03
g_0,3.12,2.68,3.65,2.83,3.0,2.05,1.43,1.29,1.37,1.48,1.34,1.52,0.92,1.08,1.05,1.0
