,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,2.42,1.15,1.26,0.98,1.03,0.95,2.44,1.96,3.92,1.64,3.0,2.6,2.92,2.93,2.69,3.0
e_1,0.94,2.45,1.04,1.34,1.24,1.19,2.24,2.17,2.36,4.07,2.47,2.9,3.36,3.03,1.54,3.21
f_1,1.04,1.7,2.47,1.18,1.09,0.9,1.66,2.2,2.3,2.17,2.5,1.63,2.88,2.08,1.93,2.24
c_1,1.25,1.03,1.08,2.66,1.81,1.1,2.24,1.85,1.18,2.04,1.8,2.45,2.83,1.9,1.81,3.18
b_1,1.23,0.98,1.16,0.91,2.82,2.09,2.31,2.08,2.27,2.14,1.77,2.34,2.35,1.85,3.12,3.19
a_1,1.31,1.15,1.31,1.13,0.75,3.3,2.12,2.46,2.3,2.91,2.59,2.77,4.26,2.07,2.9,3.29
h_1,1.15,1.07,1.66,1.28,1.24,1.29,3.95,3.07,2.59,2.72,2.67,2.56,2.59,2.34,2.92,4.33
g_1,1.8,1.02,0.82,1.47,1.22,1.15,2.02,4.37,2.62,2.05,2.57,3.52,3.06,2.92,3.45,2.58
c_0,1.22,1.35,1.26,1.03,1.19,1.28,2.23,2.56,3.82,3.16,4.41,2.83,3.83,3.24,3.05,3.39
d_0,0.72,1.1,1.31,2.2,1.19,1.14,2.41,2.92,2.16,3.96,2.36,2.82,3.38,2.7,3.17,3.58
b_0,1.34,1.31,1.36,1.2,0.76,1.06,2.55,2.5,2.46,2.9,4.16,2.56,4.11,5.32,2.67,3.88
f_0,1.39,0.97,0.93,1.28,1.28,1.51,2.77,2.66,2.96,2.77,2.86,4.25,4.16,2.73,5.34,2.91
h_0,1.44,1.16,1.68,1.36,1.39,0.94,1.68,2.93,2.71,2.6,2.07,2.19,2.26,2.99,2.08,4.01
a_0,1.3,1.23,1.34,1.44,1.24,0.75,2.89,2.56,2.88,2.99,2.36,2.93,3.87,4.67,2.72,3.19
e_0,1.33,0.95,1.43,1.58,1.15,1.23,2.82,2.29,2.64,2.58,2.87,2.26,4.36,3.0,4.93,3.44
g_0,1.82,1.04,1.36,1.22,1.12,1.1,2.16,2.02,2.8,2.41,2.42,3.9,3.07,3.18,2.81,2.87
