,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.5,0.61,0.69,0.8,0.66,0.51,0.86,0.79,1.36,0.76,0.84,0.83,0.87,0.79,0.52,0.84
f_1,1.17,1.51,0.58,0.63,0.53,0.46,0.72,0.65,0.76,0.62,0.55,0.73,0.78,0.65,0.39,0.72
d_1,0.63,0.83,1.57,0.61,0.65,0.64,0.81,0.65,0.5,1.41,0.69,0.83,0.83,0.63,0.78,0.67
c_1,0.62,0.74,0.7,1.57,1.08,0.48,0.88,0.69,0.67,0.4,0.72,0.64,0.86,0.61,0.64,0.77
b_1,0.7,0.77,0.65,0.59,1.6,0.96,0.86,0.86,0.81,0.85,0.87,0.5,0.85,0.58,0.76,0.73
a_1,0.8,0.89,0.71,0.79,0.55,1.75,0.76,0.74,0.88,0.85,0.85,0.99,1.26,0.72,0.66,0.96
h_1,0.82,1.16,1.0,0.73,0.79,0.72,1.72,1.28,0.93,1.0,1.0,0.93,0.85,0.94,0.93,1.07
g_1,0.84,0.89,1.35,0.88,0.72,0.74,0.91,1.8,0.88,0.99,1.46,1.18,1.08,0.92,0.99,0.78
d_0,0.71,1.02,0.6,1.62,0.95,0.77,1.11,1.13,1.62,0.84,1.12,1.16,1.08,0.82,0.98,1.13
c_0,0.92,1.16,0.83,0.69,0.78,0.84,1.19,1.16,1.22,1.62,1.16,2.02,1.26,1.04,1.24,1.27
f_0,0.82,0.79,1.12,1.0,0.89,0.67,1.16,0.96,1.12,1.15,1.7,1.14,1.4,1.05,1.9,1.02
b_0,0.96,1.11,0.96,1.06,0.6,0.62,1.15,0.97,1.14,0.79,1.3,1.65,1.23,1.61,1.11,1.43
h_0,0.99,1.36,1.0,1.06,0.92,0.6,1.01,1.26,1.1,0.99,1.0,1.19,0.94,0.92,1.02,1.41
a_0,0.98,1.16,1.13,1.0,0.97,0.45,1.33,1.04,1.13,1.15,1.37,0.93,1.64,1.73,1.18,1.27
e_0,0.74,1.32,0.97,1.19,0.97,0.95,1.23,1.11,1.16,1.08,0.89,1.11,1.24,0.84,1.76,1.26
g_0,0.93,0.94,1.45,1.05,1.06,0.73,1.22,0.97,1.06,1.01,1.6,1.04,1.23,0.94,1.09,1.03
