,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,35.6,0.07,0.07,0.06,0.06,0.06,0.26,0.2,0.72,0.41,0.35,0.23,0.55,0.44,,0.52
f_1,0.11,36.04,0.07,0.08,0.08,0.08,0.27,0.32,0.36,0.3,0.35,,0.57,0.29,0.32,0.46
d_1,0.05,0.08,39.72,0.06,0.06,0.06,0.26,0.31,,0.77,0.41,0.36,0.6,0.27,0.38,0.52
c_1,0.07,0.07,0.06,43.38,0.14,0.06,0.28,0.3,0.36,,0.27,0.28,0.55,0.49,0.47,0.45
b_1,0.07,0.07,0.07,0.08,49.26,0.13,0.24,0.25,0.43,0.33,,0.4,0.56,0.22,0.24,0.56
a_1,0.08,0.07,0.05,0.05,,82.39,0.4,0.28,0.33,0.39,0.39,0.39,0.66,,,0.48
h_1,0.25,0.34,0.23,0.24,0.33,0.2,30.41,1.33,1.46,1.59,1.36,1.51,,0.97,1.15,2.97
g_1,0.2,0.24,0.36,0.28,0.24,0.23,0.96,32.52,1.06,1.39,1.89,2.34,2.03,,1.95,
d_0,0.38,0.3,,0.66,0.38,0.28,2.0,1.52,17.73,1.22,1.44,1.6,3.75,2.36,1.45,2.72
c_0,0.37,0.31,0.27,,0.25,0.34,1.64,1.81,1.75,19.02,4.23,1.83,2.62,1.43,1.76,2.55
b_0,0.43,0.36,0.36,0.26,,0.41,1.54,1.1,2.15,1.6,19.43,1.77,3.12,3.94,1.52,3.29
f_0,0.2,,0.38,0.37,0.36,0.31,1.15,1.43,1.6,1.84,1.93,22.45,4.53,1.81,4.72,2.66
h_0,0.48,0.61,0.56,0.4,0.54,0.64,,2.29,2.7,3.01,2.64,3.79,,3.4,2.53,8.26
a_0,0.27,0.38,0.31,0.4,0.3,,2.26,1.54,1.68,1.62,2.34,1.59,2.73,30.1,,
e_0,,0.39,0.37,0.37,0.31,,0.98,1.23,2.84,1.77,2.21,1.74,2.69,,33.34,4.27
g_0,0.38,0.43,0.94,0.53,0.45,0.63,2.54,,2.23,2.85,1.88,6.27,4.69,2.26,2.67,
