,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,2.29,0.54,0.38,0.35,0.45,0.45,0.8,0.79,0.51,1.99,1.19,1.09,1.39,0.92,1.19,0.92
f_1,0.46,2.31,0.9,0.46,0.36,0.26,0.87,0.77,0.96,0.93,0.86,0.35,1.22,0.78,1.2,0.42
e_1,0.46,0.52,2.31,0.5,0.48,0.36,0.91,0.65,1.82,1.07,1.03,0.9,1.13,0.86,1.02,0.32
c_1,0.48,0.44,0.44,2.52,0.81,0.3,0.97,0.87,1.02,0.28,0.67,1.03,1.23,0.75,0.92,0.78
b_1,0.55,0.47,0.49,0.48,2.6,0.68,0.72,0.72,0.92,0.83,0.39,1.08,1.11,0.75,1.18,0.8
a_1,0.56,0.48,0.46,0.47,0.41,3.08,0.97,0.95,0.97,1.01,1.15,1.02,1.13,0.4,1.2,0.89
h_1,0.63,0.87,0.49,0.59,0.45,0.36,2.96,1.46,1.24,1.12,1.08,0.97,0.91,1.14,1.62,0.97
g_1,0.99,0.55,0.53,0.61,0.48,0.34,1.0,3.22,1.02,1.2,1.12,1.5,1.49,0.83,0.46,1.02
d_0,0.36,0.6,0.61,1.1,0.5,0.4,1.19,0.97,2.54,0.99,1.3,0.97,1.57,0.84,1.21,1.29
c_0,0.71,0.73,0.54,0.31,0.47,0.46,1.36,0.95,1.31,2.4,2.37,1.18,1.71,1.33,1.27,1.31
b_0,0.72,0.76,0.58,0.59,0.24,0.39,1.23,1.04,1.14,1.26,2.69,0.94,1.85,1.94,1.66,0.87
f_0,0.74,0.41,0.54,0.52,0.53,0.47,1.07,1.05,1.34,1.38,1.32,2.79,1.58,1.36,1.54,2.55
h_0,0.68,1.03,0.65,0.51,0.46,0.34,0.6,1.26,1.06,1.28,1.33,1.0,0.84,1.06,1.86,0.78
a_0,0.6,0.75,0.66,0.65,0.47,0.16,1.19,0.9,1.49,1.51,1.37,1.14,1.83,2.95,1.45,0.95
g_0,1.02,0.48,0.6,0.64,0.49,0.37,0.91,0.63,0.98,1.34,1.29,1.87,1.61,1.1,1.0,1.01
e_0,0.81,0.73,0.3,0.51,0.55,0.43,1.1,1.1,1.07,1.19,1.46,1.09,1.93,0.99,1.26,3.14
