,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.4,0.69,1.13,0.83,0.81,0.66,1.41,1.14,1.78,1.89,1.61,0.92,2.05,1.64,1.8,1.64
d_1,0.83,2.46,0.68,0.68,0.75,0.74,1.66,1.46,2.65,0.91,1.83,2.06,2.06,1.83,2.19,1.74
e_1,0.72,0.8,2.47,0.81,0.71,0.68,1.5,1.59,1.75,2.73,1.59,1.78,2.29,1.51,2.15,0.82
c_1,0.76,0.78,0.75,2.62,1.18,0.84,1.35,1.3,0.73,1.56,1.29,1.66,1.88,1.57,2.13,1.77
b_1,0.73,0.84,0.7,0.78,2.73,1.21,1.51,1.43,1.32,1.63,0.85,1.51,2.1,1.38,1.82,1.86
a_1,0.92,0.83,0.93,0.61,0.62,3.1,1.65,1.58,1.55,1.62,2.3,1.35,2.22,1.11,2.11,1.22
h_1,1.28,0.97,0.96,1.06,0.97,0.94,3.79,2.24,2.36,2.01,2.49,2.23,1.38,2.01,3.11,2.35
g_1,1.17,1.36,0.81,1.02,1.0,0.89,1.73,4.26,2.09,1.67,2.34,2.92,2.68,2.43,1.48,2.03
c_0,1.21,0.97,0.92,0.63,0.94,1.1,1.98,2.23,3.77,2.28,4.1,2.61,2.98,2.36,2.59,2.48
d_0,1.02,0.43,0.8,1.66,0.99,1.05,1.98,2.72,1.84,3.79,2.72,2.55,2.61,2.07,2.81,2.73
b_0,1.02,1.19,0.97,1.34,0.56,0.78,2.08,2.12,1.74,2.24,4.07,2.42,3.21,4.59,2.88,2.61
f_0,0.6,1.06,0.96,1.08,1.14,1.05,2.16,2.06,2.23,2.24,2.6,4.22,2.77,2.19,2.98,4.41
h_0,1.14,1.08,1.02,1.11,0.88,1.07,1.24,2.33,2.1,2.23,2.27,2.1,1.62,2.21,3.65,2.25
a_0,1.14,1.09,1.07,1.12,1.03,0.53,1.91,2.05,2.14,2.54,1.8,2.66,3.45,4.94,3.41,2.12
g_0,1.05,1.3,0.84,1.13,0.96,0.91,1.84,1.61,2.4,2.39,2.14,2.95,2.33,2.25,1.75,2.52
e_0,0.89,1.19,0.9,1.04,0.9,1.37,2.2,2.36,2.14,1.93,2.37,2.06,3.15,2.72,3.06,4.97
