,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,8985.49,5094.3,4227.38,5760.73,8254.05,25676.17,3408590.54,8880949.33,10093472.2,13048814.78,16781017.24,19214197.37,89987670.81,93534765.6,233945460.37,160301964.32
e_1,2363.64,11029.63,3322.89,6220.25,10577.04,33750.15,3515324.72,7646294.39,22304239.41,16707977.81,19912087.13,39602832.8,74404509.16,91680765.78,263189354.22,128955464.3
d_1,2698.62,2277.88,17682.57,4539.97,8561.59,31237.28,4424374.56,9289664.36,5661643.73,33176733.27,25151696.24,41682052.5,102576154.62,109396873.27,263694630.42,265763908.5
c_1,2606.38,2768.51,3428.98,24133.75,17369.96,30043.94,3944361.87,7456983.85,10347495.58,8864057.92,12416316.75,41808378.35,84604288.69,116282023.09,228074671.62,214987309.13
b_1,2409.6,2757.75,3593.45,5821.53,47438.67,65931.6,3898978.04,7366459.28,11066312.21,14483809.39,7301244.71,31264928.08,105766285.13,70072742.31,291440971.39,233023673.91
a_1,2862.23,2497.36,4834.21,5098.08,9547.22,220107.28,3776841.69,9301055.61,11109883.45,18364355.34,19831947.6,38485139.55,114990934.07,59326158.94,250233785.79,223460422.85
h_1,4228.47,3231.95,5631.66,6673.02,9332.78,28629.32,11216006.35,14818483.71,14355297.01,21751330.97,23291112.37,38857185.64,62372758.9,124112262.54,443381969.32,291468485.83
g_1,2747.96,3122.11,7981.78,6640.21,10310.88,37589.74,4629792.89,29911745.74,12366131.43,20703450.39,21861931.17,66524413.43,103036832.61,133560808.98,220991566.25,284489364.73
d_0,3143.06,3159.66,2991.78,13396.13,10255.2,37512.73,4624351.15,8215986.26,26759683.71,14793850.31,26014641.07,39769652.89,98752785.2,119885776.9,311267503.19,392770048.31
c_0,3479.55,2920.88,6593.52,4420.31,6940.57,34553.46,5361580.53,12365769.89,13127435.5,41474221.04,47086228.46,43217048.08,129946381.83,155857376.11,413031243.84,401497303.12
b_0,3375.49,3216.16,6023.95,7082.97,6024.34,32837.78,5652593.24,13107745.68,14620747.58,22711395.93,48718060.55,43828417.62,113121078.73,273251544.54,369877435.07,347407967.95
f_0,1911.62,2432.41,6563.58,7332.41,11351.21,41226.94,5070126.45,9918974.35,15385287.26,28643846.56,26145959.32,107216480.44,110920226.63,140740362.35,415616090.23,691958889.62
h_0,4415.26,3263.69,5608.52,6743.59,11218.42,33887.91,2793871.93,13825446.81,12723113.96,18491528.81,24067152.71,43694686.96,82032534.47,130259305.84,464711713.77,280646204.77
a_0,4004.83,2742.03,5820.94,6561.22,10735.91,20361.34,5595602.85,10793550.58,13139165.15,18938389.69,24455428.94,52264280.98,130538164.42,335423601.29,372686630.78,412151535.35
g_0,2518.96,2715.0,8669.96,6659.74,10420.15,35482.63,3772770.56,7460248.19,13356541.05,20626830.68,27793813.9,82605805.24,112734416.85,133953634.89,283494994.88,360757135.59
e_0,4042.78,2507.18,4852.32,8335.82,9112.27,34131.96,5359985.53,10826864.01,14744233.62,20779622.02,28842277.39,44453899.62,152101990.99,178905528.08,405674655.97,867274730.02
