,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.94,0.45,0.26,0.25,0.22,0.21,0.18,0.17,0.14,0.16,0.17,0.07,0.16,0.12,0.15,0.08
e_1,0.29,0.94,0.25,0.32,0.23,0.13,0.21,0.2,0.15,0.3,0.16,0.19,0.18,0.13,0.15,0.07
d_1,0.33,0.29,0.94,0.27,0.26,0.15,0.22,0.29,0.14,0.08,0.16,0.15,0.15,0.11,0.13,0.13
c_1,0.34,0.24,0.33,0.93,0.38,0.18,0.23,0.08,0.14,0.16,0.14,0.15,0.17,0.1,0.17,0.11
b_1,0.33,0.29,0.34,0.29,0.93,0.32,0.22,0.21,0.16,0.19,0.09,0.16,0.18,0.14,0.13,0.1
a_1,0.29,0.4,0.37,0.37,0.22,0.93,0.24,0.25,0.24,0.25,0.2,0.19,0.2,0.07,0.15,0.13
h_1,0.72,0.52,0.59,0.45,0.42,0.36,0.72,0.31,0.39,0.3,0.35,0.29,0.2,0.22,0.35,0.21
c_0,0.74,0.55,0.48,0.46,0.43,0.31,0.44,0.62,0.42,0.44,0.58,0.37,0.34,0.29,0.27,0.25
g_1,0.62,0.57,0.81,0.59,0.47,0.3,0.3,0.3,0.72,0.27,0.3,0.41,0.25,0.23,0.14,0.23
d_0,0.72,0.48,0.3,0.92,0.46,0.28,0.47,0.3,0.39,0.61,0.38,0.32,0.29,0.28,0.36,0.27
b_0,0.78,0.65,0.59,0.71,0.26,0.34,0.34,0.33,0.4,0.37,0.63,0.41,0.35,0.58,0.34,0.27
f_0,0.43,0.51,0.67,0.71,0.55,0.41,0.46,0.4,0.33,0.42,0.32,0.63,0.34,0.33,0.27,0.45
h_0,1.0,0.6,0.67,0.64,0.41,0.36,0.21,0.4,0.51,0.41,0.35,0.34,0.23,0.27,0.35,0.22
a_0,0.75,0.56,0.95,0.72,0.48,,0.48,0.41,0.34,0.44,0.27,0.4,0.46,0.59,0.32,0.33
g_0,0.6,0.64,0.96,0.62,0.6,0.36,0.41,0.43,0.31,0.4,0.35,0.57,0.35,0.27,0.22,0.27
e_0,0.91,0.37,0.76,0.76,0.71,0.46,0.44,0.54,0.33,0.45,0.36,0.38,0.42,0.22,0.33,0.59
