,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.0,0.77,0.85,1.16,0.85,0.73,0.49,0.61,0.44,0.36,0.34,0.35,0.33,0.39,0.31,0.33
f_1,1.32,1.0,0.88,0.89,0.92,0.59,0.38,0.4,0.42,0.36,0.38,0.29,0.28,0.23,0.29,0.27
d_1,1.16,1.13,1.0,0.9,0.91,0.66,0.5,0.52,0.37,0.55,0.41,0.42,0.35,0.37,0.29,0.24
c_1,0.87,1.12,1.09,1.0,1.37,0.77,0.51,0.28,0.49,0.36,0.42,0.42,0.36,0.28,0.29,0.28
b_1,1.2,1.08,1.1,0.74,1.0,1.26,0.53,0.49,0.51,0.45,0.5,0.47,0.49,0.33,0.37,0.35
a_1,1.38,1.68,1.51,1.29,0.8,1.0,0.76,0.68,0.57,0.76,0.65,0.52,0.52,0.5,0.45,0.53
h_1,2.06,2.67,2.0,1.99,1.86,1.26,1.0,0.95,1.11,0.81,0.8,0.65,0.75,0.62,0.61,0.66
d_0,1.67,2.37,1.99,3.44,2.07,1.58,1.1,1.0,1.01,0.98,0.85,0.92,0.75,0.63,0.71,0.74
g_1,2.33,2.26,2.78,1.92,2.0,1.76,0.9,0.97,1.0,0.96,0.9,1.07,0.69,0.82,0.75,0.63
c_0,2.89,2.62,1.82,2.72,2.17,1.3,1.27,1.0,0.99,1.0,1.3,0.9,0.8,0.8,0.78,0.69
b_0,2.9,2.47,2.36,2.49,1.93,1.63,1.22,1.22,1.14,0.8,1.0,0.97,0.91,0.88,1.13,0.78
f_0,2.81,3.27,2.47,2.52,2.14,1.8,1.5,1.08,0.95,1.18,1.08,1.0,0.93,1.09,0.73,0.67
h_0,2.95,3.52,2.89,2.84,2.03,2.02,1.28,1.26,1.44,1.23,1.19,1.09,1.0,0.99,0.78,1.07
e_0,2.7,4.52,2.73,3.48,2.73,2.0,1.62,1.41,1.21,1.4,1.2,0.96,1.04,1.0,0.89,0.94
a_0,3.29,3.52,3.26,3.56,2.77,2.18,1.63,1.39,1.39,1.24,0.88,1.38,1.25,1.22,1.0,0.98
g_0,3.31,3.47,4.06,3.46,3.05,2.08,1.51,1.27,1.66,1.42,1.38,1.62,0.94,1.08,1.04,1.0
