,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.18,8.32,13.08,12.01,9.63,10.8,3.37,3.0,2.76,3.82,4.5,3.58,1.56,2.47,2.05,
f_1,13.47,0.17,12.41,14.49,9.35,21.84,2.47,3.18,2.61,3.58,2.04,,1.36,2.62,2.07,3.55
d_1,14.06,11.61,0.17,14.85,16.97,10.86,3.71,,2.8,2.03,2.53,2.45,1.91,2.6,1.21,1.83
c_1,14.07,11.66,15.33,0.15,8.34,15.22,3.16,1.58,,3.63,3.07,3.7,1.58,3.86,1.57,2.71
b_1,11.23,15.1,15.61,7.6,0.12,10.41,4.45,2.27,3.55,5.51,,2.61,1.79,,1.42,1.98
a_1,15.89,13.11,15.33,8.45,11.02,0.08,3.9,2.28,3.32,,,,2.07,,1.78,
h_1,3.13,2.78,4.33,3.79,4.25,3.28,0.07,0.61,0.67,1.25,0.5,0.87,,,0.44,0.36
d_0,1.52,2.44,,2.18,3.26,2.09,0.76,0.09,0.46,0.66,0.7,0.43,0.38,0.41,0.37,0.53
c_0,2.44,3.37,1.67,,3.24,2.93,0.55,0.49,0.09,0.7,0.44,0.38,0.3,0.39,0.53,
g_1,3.97,3.23,3.21,4.59,4.47,,0.63,0.64,0.7,0.06,0.67,0.58,0.44,0.75,,0.57
b_0,2.62,3.39,2.6,3.63,,,0.87,0.47,0.25,0.8,0.08,0.61,0.36,0.53,0.35,0.46
f_0,3.03,,2.24,2.38,2.61,,0.96,0.49,0.52,0.63,0.43,0.06,0.43,0.47,0.19,
h_0,2.24,1.67,1.51,1.83,1.5,1.35,,0.27,0.36,0.4,0.28,0.31,,0.46,0.28,
a_0,2.47,2.74,2.05,2.64,,,,0.55,0.42,0.66,0.3,0.57,0.34,0.05,,
g_0,1.98,1.86,1.5,1.68,2.22,2.22,0.31,0.37,0.37,,0.47,0.41,0.14,,,0.36
e_0,,3.83,2.15,1.88,2.09,,0.7,0.53,,0.82,0.64,,,,0.34,0.05
