,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.18,0.38,0.68,0.73,0.73,0.72,0.23,0.22,0.17,0.13,0.15,0.18,0.1,0.15,0.12,0.29
f_1,0.59,0.17,0.58,0.74,0.57,0.7,0.13,0.22,0.14,0.12,0.12,0.3,0.07,0.13,0.09,0.12
d_1,0.71,0.71,0.15,0.69,0.6,0.55,0.19,0.12,0.33,0.14,0.12,0.14,0.09,0.12,0.06,0.13
c_1,0.53,0.73,0.77,0.15,0.77,0.66,0.19,0.19,0.07,0.23,0.12,0.11,0.09,0.12,0.1,0.12
b_1,0.72,0.73,0.78,0.33,0.13,0.67,0.2,0.21,0.13,0.19,0.38,0.14,0.1,0.17,0.12,0.12
a_1,0.77,0.69,0.61,0.86,0.34,0.09,0.26,0.21,0.17,0.15,0.22,0.14,0.11,0.33,0.11,0.13
h_1,0.5,0.58,0.5,0.53,0.55,0.5,0.06,0.14,0.11,0.11,0.09,0.11,0.13,0.11,0.08,0.09
g_1,0.58,0.55,0.53,0.49,0.58,0.57,0.11,0.05,0.13,0.11,0.1,0.1,0.06,0.1,0.11,0.1
d_0,0.3,0.58,0.82,0.53,0.65,0.51,0.15,0.2,0.06,0.11,0.11,0.11,0.09,0.1,0.11,0.09
c_0,0.5,0.63,0.31,0.95,0.51,0.43,0.17,0.2,0.13,0.06,0.12,0.11,0.09,0.11,0.09,0.1
b_0,0.48,0.49,0.43,0.97,1.01,0.52,0.13,0.14,0.11,0.05,0.05,0.09,0.07,0.09,0.06,0.09
f_0,0.5,1.12,0.49,0.45,0.49,0.42,0.17,0.09,0.13,0.12,0.11,0.05,0.08,0.12,0.05,0.09
h_0,0.56,0.51,0.46,0.57,0.52,0.41,0.21,0.15,0.1,0.1,0.11,0.09,0.15,0.09,0.07,0.09
a_0,0.48,0.52,0.48,0.55,0.67,1.01,0.14,0.15,0.11,0.1,0.05,0.11,0.08,0.04,0.07,0.08
g_0,0.48,0.64,0.48,0.58,0.62,0.41,0.11,0.19,0.12,0.09,0.09,0.09,0.05,0.1,0.09,0.08
e_0,0.71,0.75,0.48,0.47,0.54,0.46,0.16,0.12,0.1,0.09,0.11,0.05,0.08,0.12,0.06,0.03
