,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.0,1.17,0.92,0.97,0.86,0.67,0.41,0.44,0.43,0.37,0.36,0.34,0.32,0.29,0.29,0.25
e_1,0.84,1.0,0.94,1.08,0.88,0.75,0.55,0.46,0.57,0.43,0.43,0.41,0.38,0.34,0.32,0.33
d_1,1.12,1.05,1.0,0.92,0.81,0.72,0.5,0.37,0.41,0.57,0.46,0.4,0.35,0.33,0.28,0.33
c_1,1.02,0.94,1.11,1.0,1.25,0.84,0.46,0.43,0.34,0.39,0.33,0.34,0.35,0.37,0.31,0.29
b_1,1.15,1.15,1.23,0.82,1.0,1.15,0.58,0.54,0.46,0.51,0.43,0.42,0.36,0.41,0.35,0.35
a_1,1.46,1.3,1.33,1.17,0.87,1.0,0.71,0.61,0.58,0.58,0.57,0.52,0.48,0.6,0.43,0.42
h_1,2.45,1.91,1.94,2.1,1.7,1.37,1.0,1.06,0.92,0.84,0.84,0.74,0.66,0.76,0.68,0.67
g_1,2.19,2.21,2.56,2.31,1.94,1.67,0.93,1.0,0.88,0.92,0.83,0.96,0.69,0.68,0.75,0.65
d_0,2.26,1.82,2.28,3.01,2.25,1.71,1.08,1.18,1.0,0.76,0.87,0.82,0.85,0.86,0.74,0.73
c_0,2.65,2.43,1.79,2.67,1.95,1.65,1.16,1.09,1.28,1.0,1.31,0.93,0.91,0.87,0.73,0.74
b_0,2.77,2.37,2.2,2.93,2.33,1.61,1.2,1.19,1.16,0.78,1.0,0.84,1.17,0.97,0.84,0.73
f_0,2.96,2.62,2.5,2.8,2.36,1.97,1.35,1.03,1.23,1.02,1.13,1.0,0.92,0.95,0.72,1.22
a_0,3.14,2.66,2.75,2.93,2.77,2.18,1.54,1.41,1.21,1.07,0.91,1.08,1.0,1.02,0.95,0.8
h_0,3.41,2.99,2.93,2.81,2.46,1.69,1.28,1.46,1.17,1.14,1.0,1.03,0.95,1.0,1.0,0.82
g_0,3.5,3.14,3.57,3.21,2.74,2.41,1.46,1.32,1.35,1.33,1.2,1.37,1.07,0.99,1.0,0.99
e_0,4.04,3.32,3.1,3.46,2.73,2.37,1.46,1.53,1.23,1.32,1.43,0.78,1.21,1.2,1.0,1.0
