,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.15,61.64,79.45,66.18,69.85,80.88,16.0,14.94,19.82,15.12,18.17,,10.78,24.4,19.05,15.75
e_1,40.06,1.15,69.52,85.09,93.13,80.88,21.6,17.07,36.33,17.29,12.85,24.05,15.52,,18.1,12.12
c_1,73.19,121.29,1.15,124.08,116.42,106.42,26.18,9.19,25.15,,25.1,18.04,13.86,12.2,15.08,12.6
d_1,84.58,188.0,101.12,1.15,93.13,91.91,25.41,,19.24,18.91,29.28,17.41,12.52,24.4,24.13,7.87
b_1,122.77,134.29,61.8,141.81,1.15,144.43,25.41,31.17,24.22,30.25,,20.2,11.76,19.26,20.11,12.6
a_1,131.24,170.91,123.59,198.53,77.61,1.15,43.2,42.18,46.71,,29.28,38.85,22.82,22.88,,
h_1,77.67,91.71,98.15,82.72,121.48,87.91,2.0,18.87,26.16,21.61,16.47,18.04,,12.62,17.24,12.6
d_0,97.59,48.83,81.39,,93.13,87.91,26.18,2.96,27.25,26.3,15.06,12.02,10.78,21.53,12.07,12.6
g_1,152.24,134.29,128.35,124.08,111.76,144.43,28.8,29.87,2.0,26.3,23.95,21.04,13.86,20.33,22.62,
c_0,100.16,113.94,,50.47,133.05,,22.15,23.13,26.16,3.02,18.17,28.06,9.95,16.64,19.05,14.32
b_0,146.38,104.44,166.85,110.3,,118.94,33.23,25.61,29.73,9.6,3.05,21.04,14.92,30.5,32.91,19.69
f_0,,121.29,139.04,165.44,103.48,106.42,36.0,27.58,24.22,19.52,23.95,2.87,16.87,33.27,,8.51
h_0,122.77,98.95,104.28,78.37,87.31,72.21,,17.92,31.14,17.79,22.91,28.06,,20.33,,21.0
e_0,346.0,,196.29,165.44,147.05,134.8,39.27,29.87,40.88,33.61,37.64,19.42,16.17,3.1,,15.75
a_0,158.58,125.33,208.56,212.71,254.0,,57.6,26.56,43.6,33.61,18.82,,,,2.99,
g_0,317.17,150.4,115.07,119.12,116.42,,30.86,24.72,,26.3,25.1,24.05,12.12,24.4,,
