,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.52,0.67,0.85,0.49,0.61,0.58,0.85,1.63,0.98,0.87,1.09,1.04,1.02,0.87,0.54,0.92
f_1,1.2,2.57,0.59,0.64,0.52,0.56,0.87,0.84,0.77,0.68,0.87,0.37,0.82,0.86,0.78,0.76
c_1,0.55,0.64,2.72,0.69,1.22,0.54,0.88,0.85,0.38,0.82,0.63,0.87,1.05,0.88,0.92,0.92
d_1,0.58,0.73,0.48,2.88,0.58,0.57,0.95,0.5,1.7,1.06,1.32,1.1,1.05,1.16,1.03,1.13
b_1,0.52,0.72,0.65,0.59,3.35,1.38,0.84,0.77,0.77,0.83,0.27,0.86,0.9,0.66,1.04,0.94
a_1,0.62,0.79,0.74,0.72,0.58,4.22,0.95,0.92,1.03,0.9,1.0,0.94,0.97,0.45,0.97,0.9
h_1,0.7,1.09,0.75,0.87,0.71,0.72,2.81,0.94,1.15,1.57,0.99,1.14,0.67,1.15,1.47,1.58
d_0,0.77,0.75,1.56,0.45,0.73,0.7,1.08,1.84,0.84,1.06,1.33,1.21,1.27,1.25,1.13,1.1
c_0,0.87,0.81,0.58,1.12,0.51,0.8,1.01,1.22,2.09,1.09,2.29,1.21,1.14,1.36,1.23,1.38
g_1,0.64,0.56,0.76,1.26,0.79,0.76,1.14,1.02,1.12,3.53,1.07,2.08,1.07,1.28,1.37,0.8
b_0,0.94,0.76,0.94,0.94,0.43,0.61,1.24,1.28,1.13,1.1,2.39,1.2,1.34,2.35,1.16,1.34
f_0,0.68,0.48,0.91,0.82,0.93,0.96,1.37,1.2,1.2,1.27,1.18,2.65,1.16,1.4,2.26,1.33
h_0,0.7,1.06,0.84,0.86,0.82,0.64,0.79,1.24,1.19,1.37,1.18,0.99,0.8,1.18,1.16,1.51
a_0,0.91,0.72,0.82,0.91,0.72,0.49,1.2,1.33,1.24,1.41,1.14,1.66,1.34,3.08,1.18,1.39
e_0,0.48,0.95,0.75,0.98,0.78,0.79,1.34,1.17,1.19,1.36,1.25,1.35,1.19,1.65,3.05,1.0
g_0,0.69,0.67,0.78,1.48,0.7,0.59,1.24,0.84,1.12,0.71,1.07,1.8,1.27,1.2,1.44,0.91
