,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.17,0.63,0.57,0.68,0.69,0.56,0.14,0.18,0.13,0.13,0.13,0.23,0.08,0.13,0.11,0.15
d_1,0.73,0.16,0.71,0.69,0.64,0.55,0.18,0.12,0.12,0.36,0.11,0.12,0.09,0.15,0.07,0.11
e_1,0.39,0.7,0.16,0.74,0.76,0.6,0.21,0.23,0.16,0.15,0.15,0.16,0.09,0.13,0.12,0.24
c_1,0.6,0.84,0.56,0.14,0.63,0.74,0.19,0.2,0.23,0.07,0.12,0.13,0.09,0.12,0.09,0.13
b_1,0.73,0.65,0.73,0.35,0.13,0.73,0.2,0.2,0.17,0.14,0.36,0.14,0.11,0.16,0.11,0.14
a_1,0.73,0.67,0.74,0.69,0.34,0.1,0.2,0.22,0.14,0.14,0.21,0.14,0.09,0.36,0.1,0.12
h_1,0.54,0.45,0.54,0.55,0.51,0.48,0.06,0.14,0.11,0.12,0.11,0.1,0.11,0.1,0.07,0.1
g_1,0.7,0.5,0.51,0.58,0.52,0.47,0.12,0.05,0.09,0.09,0.09,0.09,0.06,0.1,0.1,0.1
c_0,0.53,0.29,0.53,1.06,0.64,0.59,0.15,0.15,0.06,0.15,0.11,0.12,0.07,0.11,0.07,0.11
d_0,0.51,0.84,0.28,0.6,0.6,0.56,0.18,0.19,0.12,0.06,0.1,0.11,0.08,0.1,0.08,0.12
b_0,0.61,0.39,0.5,0.79,1.09,0.5,0.14,0.12,0.05,0.1,0.05,0.1,0.07,0.11,0.08,0.1
f_0,0.84,0.46,0.48,0.59,0.53,0.56,0.15,0.09,0.1,0.1,0.09,0.05,0.08,0.08,0.05,0.09
h_0,0.49,0.52,0.44,0.6,0.56,0.43,0.24,0.13,0.1,0.11,0.09,0.1,0.12,0.08,0.08,0.09
a_0,0.57,0.46,0.52,0.56,0.69,0.76,0.14,0.13,0.09,0.11,0.05,0.1,0.07,0.04,0.06,0.1
g_0,0.62,0.4,0.52,0.53,0.6,0.5,0.12,0.22,0.1,0.11,0.09,0.1,0.05,0.1,0.11,0.09
e_0,0.72,0.5,0.93,0.5,0.45,0.55,0.16,0.12,0.09,0.09,0.11,0.05,0.07,0.08,0.06,0.04
