,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,2.51,0.58,0.58,0.86,0.62,0.52,0.9,0.93,1.65,0.79,1.17,0.9,0.98,0.6,1.07,1.0
d_1,0.65,2.63,0.74,0.47,0.6,0.64,0.94,0.99,0.42,1.74,1.05,1.23,1.03,1.05,1.17,0.94
f_1,1.18,0.63,2.68,0.64,0.48,0.51,0.87,0.68,0.87,0.87,0.29,0.95,0.73,0.59,0.9,0.87
c_1,0.59,0.64,0.62,2.96,1.26,0.61,0.81,0.86,0.88,0.3,0.91,0.69,0.98,0.75,0.78,0.77
b_1,0.53,0.65,0.72,0.58,3.26,1.32,0.95,0.9,0.89,0.9,0.92,0.45,1.03,0.99,0.5,0.92
a_1,0.6,0.72,0.75,0.74,0.55,4.28,0.97,0.9,0.78,0.97,0.86,1.04,0.97,1.08,0.43,0.96
h_1,0.74,0.86,1.04,0.76,0.83,0.71,2.8,1.44,0.94,1.11,1.03,1.03,0.74,1.34,1.17,1.7
g_1,0.69,1.26,0.66,0.77,0.81,0.73,0.98,2.79,1.02,1.11,1.83,1.16,1.07,1.37,1.04,0.78
d_0,0.8,0.5,0.7,1.56,0.86,0.84,1.12,1.04,2.02,0.8,1.19,0.78,1.17,1.36,0.95,1.41
c_0,0.83,1.0,0.92,0.52,0.59,0.74,1.14,1.18,0.94,2.2,1.21,2.25,1.36,1.42,1.69,1.09
f_0,0.68,1.04,0.5,0.91,0.81,0.77,1.11,1.16,1.28,1.06,2.56,1.05,1.38,2.62,1.12,1.56
b_0,0.75,0.89,0.95,0.8,0.36,0.69,1.2,0.99,1.15,1.26,1.19,2.53,1.43,1.25,2.74,1.25
h_0,0.63,0.89,1.21,0.78,0.74,0.79,0.64,1.58,1.12,1.13,1.18,1.29,0.63,1.35,1.04,1.55
e_0,0.41,0.97,0.82,0.84,0.87,0.86,1.13,1.36,1.36,1.11,1.2,1.27,1.48,3.22,1.33,1.51
a_0,0.72,0.87,0.92,0.95,0.74,0.25,1.25,1.03,1.29,1.01,1.32,1.44,1.47,1.31,3.43,1.36
g_0,0.64,1.32,0.69,0.83,0.73,0.69,1.24,0.81,1.07,1.01,1.82,1.08,1.35,1.49,1.14,0.74
