,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,105.59,55.98,66.3,82.96,130.0,316.27,8003.75,12903.85,25679.99,16563.07,31536.29,32168.19,84072.68,92790.96,93048.27,125413.3
e_1,44.14,111.03,53.06,111.66,147.37,365.4,7377.59,13862.78,15313.0,35534.47,25062.93,35998.02,95389.14,91476.92,55174.01,130589.14
f_1,46.75,83.75,115.7,94.97,127.22,277.87,5436.73,13764.12,14817.3,20063.65,25105.14,20586.08,79937.62,65796.38,62465.68,92940.07
c_1,47.37,41.48,46.16,171.21,179.08,297.73,6106.65,10105.81,7611.31,15000.79,15996.62,25709.54,67233.35,52637.68,53284.39,107321.89
b_1,41.84,35.9,44.56,57.88,230.53,476.89,5890.53,10196.16,11147.42,14361.84,13853.27,21605.59,52483.67,43280.18,76896.12,100100.05
a_1,32.29,30.27,36.51,49.91,49.84,513.3,4000.16,8394.85,8277.2,13887.47,14123.03,17515.69,64284.0,35357.92,53209.45,74010.93
h_1,13.68,13.5,21.0,26.64,35.98,93.2,2997.79,4751.97,4225.02,5881.47,6804.82,7499.38,18547.91,16669.1,23280.73,42992.57
g_1,15.81,10.29,8.7,22.44,28.52,72.93,1292.43,5181.64,3488.78,3835.84,5248.21,8755.79,17007.4,18896.4,22180.54,22169.06
c_0,10.97,12.82,12.55,16.53,27.06,78.33,1491.01,3144.73,4721.52,5402.66,8868.29,6767.43,20245.74,19316.16,19662.42,27156.59
d_0,6.95,9.34,11.84,32.62,25.34,62.57,1451.43,3058.66,2444.39,5935.42,4247.4,5984.09,17305.28,14611.02,18288.33,26989.19
b_0,10.33,10.7,11.4,17.57,18.05,52.76,1445.3,2693.13,2777.45,4286.02,6785.61,5445.13,20829.86,27990.62,15355.81,26192.69
f_0,9.85,7.26,8.45,16.2,23.75,77.13,1424.07,2592.51,3041.99,3922.87,4649.93,7843.24,19024.06,14176.29,29125.0,20211.08
h_0,7.83,7.06,10.44,13.39,19.21,33.03,730.74,2195.86,2139.24,2722.43,2447.56,3278.05,9033.73,10854.13,8524.78,19858.71
a_0,7.29,7.03,7.95,13.94,16.93,31.88,1118.62,1883.56,2188.68,3016.28,2828.91,4182.36,12185.72,15939.61,10599.37,14368.18
e_0,7.09,5.4,8.78,13.96,15.47,42.31,1065.47,1649.16,2019.22,2529.96,3354.95,3203.05,14101.88,10726.36,17410.76,16769.37
g_0,8.58,5.22,7.21,10.16,13.07,36.1,758.55,1466.7,2035.96,2275.15,2686.41,5136.26,9285.18,10814.7,9642.89,14019.06
