,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.0,0.84,0.72,0.84,0.7,0.54,0.62,0.36,0.55,0.46,0.35,0.34,0.31,0.27,0.38
f_1,1.0,1.0,1.31,0.84,0.82,0.6,0.45,0.42,0.48,0.47,0.39,0.29,0.29,0.32,0.29,0.28
e_1,1.2,0.76,1.0,0.99,0.93,0.82,0.48,0.44,0.4,0.56,0.44,0.47,0.36,0.34,0.35,0.34
c_1,1.38,1.19,1.01,1.0,1.47,0.74,0.42,0.31,0.44,0.33,0.34,0.37,0.42,0.35,0.37,0.41
b_1,1.2,1.23,1.07,0.68,1.0,1.4,0.66,0.53,0.51,0.43,0.67,0.51,0.46,0.33,0.4,0.35
a_1,1.43,1.66,1.22,1.36,0.71,1.0,0.72,0.67,0.62,0.56,0.67,0.62,0.57,0.47,0.52,0.36
h_1,1.88,2.22,2.1,2.33,1.54,1.37,1.0,0.81,1.18,0.82,0.76,0.81,0.76,0.62,0.81,0.55
c_0,1.65,2.27,2.47,2.96,1.85,1.63,1.21,1.0,1.2,1.11,1.29,0.87,0.93,0.97,0.96,0.73
g_1,2.71,2.22,2.34,2.34,1.93,1.55,0.86,0.9,1.0,0.78,0.85,0.91,0.73,0.75,0.69,0.61
d_0,1.73,2.16,1.74,3.18,2.33,1.71,1.17,0.92,1.21,1.0,1.03,0.77,0.81,0.73,0.63,0.58
b_0,2.06,2.61,2.27,3.14,1.53,1.59,1.36,0.79,1.15,0.91,1.0,1.12,0.97,1.26,0.88,0.77
f_0,2.82,3.27,2.03,2.82,1.92,1.61,1.21,1.17,1.15,1.24,0.93,1.0,0.95,0.96,0.69,1.13
h_0,2.85,3.4,2.69,2.48,2.31,1.7,1.32,1.08,1.4,1.24,0.98,1.07,1.0,0.91,1.1,0.85
a_0,2.98,3.16,2.97,3.22,2.94,,1.66,1.08,1.28,1.56,0.8,1.12,1.09,1.0,1.05,0.95
g_0,3.48,3.06,2.74,2.79,2.43,1.84,1.26,1.07,1.5,1.43,1.07,1.41,0.88,0.94,1.0,1.06
e_0,2.82,3.79,3.45,2.52,2.63,2.75,1.84,1.38,1.61,1.63,1.25,0.83,1.13,1.14,0.9,1.0
