,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.54,0.93,1.4,1.01,0.91,0.79,1.07,0.98,1.12,1.27,1.11,0.88,1.23,0.97,1.07,0.77
d_1,1.12,1.56,1.02,0.82,0.91,0.85,1.21,1.06,1.71,1.04,1.32,1.2,1.24,1.18,1.27,0.98
e_1,0.99,0.95,1.56,1.2,0.94,0.85,1.19,1.24,1.17,1.72,1.11,1.24,1.41,0.95,1.21,0.84
c_1,1.04,1.11,0.88,1.6,1.54,0.89,1.12,1.05,0.88,0.97,0.79,1.01,1.16,0.91,1.23,1.03
b_1,1.09,1.08,1.04,0.88,1.62,1.44,1.24,1.09,1.14,1.11,0.99,1.16,1.25,0.81,1.14,1.11
a_1,1.27,1.16,1.14,1.01,0.88,1.73,1.37,1.29,1.23,1.2,1.4,1.15,1.43,0.95,1.29,0.99
h_1,1.57,1.27,1.29,1.22,1.13,0.98,1.88,1.44,1.44,1.31,1.26,1.28,1.32,1.19,1.74,1.16
g_1,1.35,1.73,1.09,1.19,1.18,0.97,1.46,1.93,1.59,1.25,1.49,1.77,1.61,1.21,1.33,1.47
c_0,1.46,1.29,1.29,1.31,1.01,1.09,1.52,1.45,1.87,1.61,2.34,1.56,1.75,1.68,1.55,1.45
d_0,1.29,1.13,1.11,2.04,1.42,1.12,1.45,1.55,1.1,1.81,1.33,1.42,1.65,1.29,1.53,1.44
b_0,1.36,1.43,1.35,1.58,1.0,0.86,1.71,1.41,1.36,1.64,1.91,1.52,1.8,2.34,1.72,1.43
f_0,1.38,1.43,1.21,1.43,1.17,1.2,1.68,1.35,1.5,1.6,1.51,1.91,1.7,1.38,1.59,2.29
h_0,1.58,1.5,1.31,1.42,1.29,1.15,1.46,1.65,1.61,1.59,1.63,1.52,1.53,1.39,1.98,1.34
a_0,1.49,1.4,1.39,1.55,1.3,1.07,1.67,1.57,1.41,1.69,1.32,1.67,1.88,1.95,1.7,1.59
g_0,1.48,1.72,1.31,1.28,1.43,1.17,1.51,1.46,1.75,1.61,1.51,1.95,1.5,1.51,1.56,1.58
e_0,1.6,1.53,1.34,1.42,1.36,1.22,1.71,1.52,1.54,1.52,1.66,1.27,1.8,1.34,1.68,1.96
