,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.06,1.37,2.17,2.41,2.04,1.69,0.71,0.8,0.64,0.75,0.59,0.67,0.49,0.53,0.89,0.53
f_1,2.43,1.06,1.87,1.95,1.85,1.84,0.64,0.91,0.53,0.55,0.64,0.67,0.36,0.54,0.38,0.51
d_1,2.26,2.63,1.05,2.27,2.14,1.83,0.79,0.55,0.67,1.04,0.59,0.61,0.48,0.62,0.53,0.34
c_1,1.98,2.4,2.62,1.06,2.68,1.92,0.88,0.96,0.83,0.45,0.66,0.62,0.56,0.61,0.57,0.5
b_1,2.37,2.59,2.84,1.47,1.06,2.88,1.11,0.97,0.96,0.78,0.96,0.77,0.77,0.71,0.69,0.55
a_1,3.4,3.51,2.97,3.41,1.88,1.07,1.38,1.21,1.11,1.04,1.35,1.1,1.04,1.48,0.97,0.75
h_1,6.33,6.35,5.21,5.79,5.08,3.95,1.31,2.42,1.66,1.56,1.6,1.76,1.62,1.38,1.26,1.42
g_1,5.9,6.3,6.08,5.87,6.38,5.23,1.93,1.32,1.85,1.82,1.82,2.14,1.1,1.6,1.54,1.29
c_0,7.03,7.24,4.12,11.46,6.5,5.34,2.36,2.35,1.47,2.73,2.22,1.93,1.67,1.78,2.14,1.34
d_0,4.53,7.71,9.2,7.56,6.28,5.42,2.95,2.57,1.95,1.53,2.05,1.85,1.67,1.6,1.79,1.57
b_0,7.09,7.63,6.51,8.51,9.17,4.74,2.88,2.43,1.39,2.24,1.47,1.91,1.5,2.17,1.81,1.31
f_0,6.64,11.06,6.93,8.18,7.09,6.01,2.48,1.66,2.16,2.12,2.16,1.48,1.94,2.22,2.86,1.2
h_0,7.82,10.14,8.45,8.35,7.87,5.89,4.04,3.6,2.38,2.45,2.65,2.19,2.27,2.31,2.3,1.83
a_0,8.74,10.35,7.52,11.4,9.16,9.51,3.5,3.54,2.46,3.54,1.59,2.65,1.79,1.55,3.04,1.87
e_0,13.47,13.4,9.9,8.79,8.46,7.78,4.19,3.43,2.82,2.86,3.24,1.82,2.39,2.43,1.59,2.18
g_0,9.36,11.6,10.28,11.62,11.27,9.27,2.83,5.11,3.01,3.38,3.12,3.28,2.07,2.57,2.8,2.69
