,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.37,1.31,1.31,1.7,3.23,20.3,27.58,35.65,38.99,42.57,50.65,62.19,97.62,111.41,168.64
e_1,0.73,1.0,1.75,1.35,1.55,3.58,23.04,35.22,33.07,38.63,51.31,60.97,88.59,131.88,131.51,155.4
c_1,0.76,0.57,1.0,1.13,1.86,2.59,18.11,13.6,22.47,23.42,25.6,37.25,57.48,93.04,76.54,98.34
d_1,0.76,0.74,0.89,1.0,1.17,1.94,14.25,18.95,31.14,20.76,34.61,35.23,60.38,70.53,82.13,80.38
b_1,0.59,0.65,0.55,0.85,1.0,2.84,12.89,14.15,21.18,21.26,27.15,31.73,49.48,66.71,59.09,85.9
a_1,0.31,0.28,0.39,0.52,0.35,1.0,8.03,8.67,11.41,13.08,19.75,17.29,21.78,39.76,57.17,46.03
h_1,0.05,0.05,0.06,0.07,0.07,0.12,1.0,1.1,1.42,1.97,1.92,2.48,3.34,5.51,6.05,7.94
d_0,0.04,0.03,0.07,0.05,0.08,0.11,0.88,1.0,1.22,1.52,1.81,2.13,3.0,4.98,4.04,6.75
c_0,0.03,0.03,0.05,0.03,0.05,0.09,0.7,0.83,1.0,1.16,1.88,1.66,2.17,3.34,3.64,4.35
g_1,0.03,0.03,0.04,0.05,0.05,0.08,0.5,0.66,0.87,1.0,1.19,1.69,1.78,3.55,3.46,3.0
b_0,0.02,0.02,0.04,0.03,0.04,0.05,0.51,0.57,0.54,0.86,1.0,1.05,1.75,2.72,3.81,3.08
f_0,0.02,0.02,0.03,0.03,0.03,0.06,0.41,0.48,0.6,0.56,0.9,1.0,1.45,3.15,2.4,2.14
h_0,0.02,0.01,0.02,0.02,0.02,0.04,0.3,0.34,0.45,0.55,0.6,0.67,1.0,1.43,1.39,2.29
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.19,0.19,0.3,0.28,0.36,0.34,0.67,1.0,1.05,1.33
a_0,0.01,0.01,0.01,0.01,0.02,0.02,0.18,0.25,0.26,0.29,0.25,0.41,0.73,1.1,1.0,1.16
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.13,0.15,0.23,0.32,0.32,0.45,0.43,0.78,0.86,1.0
