,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.06,1.41,2.7,2.27,2.26,1.99,0.9,0.95,0.91,0.71,0.6,0.79,0.52,0.53,1.01,0.46
f_1,2.43,1.06,2.31,1.78,2.2,1.86,0.56,0.65,0.78,0.58,0.61,0.79,0.39,0.56,0.49,0.65
c_1,2.11,2.55,1.06,2.97,2.4,2.16,0.99,0.47,1.0,1.12,0.73,0.7,0.54,0.54,0.59,0.59
d_1,2.65,3.14,2.51,1.06,2.17,1.8,0.99,1.39,0.63,0.8,0.7,0.7,0.63,0.68,0.65,0.34
b_1,2.97,2.96,1.67,2.81,1.07,3.01,1.05,0.75,0.9,1.11,1.33,0.74,0.72,0.82,0.6,0.52
a_1,3.45,4.3,2.98,3.71,1.93,1.07,1.47,1.15,1.55,1.08,1.06,0.95,0.85,1.34,0.9,0.8
h_1,5.61,7.54,5.88,5.3,6.39,4.93,1.35,1.82,2.23,1.7,1.51,1.8,2.03,1.69,1.5,1.32
d_0,4.23,7.32,7.63,10.66,7.36,6.28,2.72,1.52,2.31,2.41,2.12,1.93,1.85,1.91,2.08,1.67
g_1,6.78,7.19,6.25,7.1,7.77,4.99,2.38,2.45,1.36,2.25,2.0,2.15,1.37,2.11,1.67,1.85
c_0,7.26,8.86,10.42,4.23,7.62,5.54,2.75,2.61,2.44,1.48,2.45,2.12,1.77,1.97,2.03,1.52
b_0,8.07,8.69,10.54,7.37,11.69,5.79,3.32,2.65,2.65,1.37,1.55,2.02,1.53,2.68,1.65,1.86
f_0,7.26,14.43,8.14,7.48,8.06,7.33,3.05,2.36,2.24,2.26,2.16,1.51,1.86,2.03,2.2,1.12
h_0,9.95,10.75,9.96,8.22,7.74,7.8,4.99,2.77,3.64,2.59,2.97,2.92,2.87,2.03,2.18,1.79
a_0,11.95,10.25,11.85,8.29,12.66,11.64,3.22,3.37,3.81,2.9,1.79,2.48,2.43,1.63,2.72,2.47
e_0,14.59,14.32,11.46,10.29,12.07,10.93,4.39,2.95,3.44,3.0,3.62,1.81,2.62,2.39,1.61,2.28
g_0,12.12,10.82,11.99,14.56,12.43,10.4,4.02,3.75,5.59,3.49,3.0,4.2,2.45,3.18,3.09,3.25
