,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.0,1.19,0.97,0.97,0.92,0.65,0.38,0.45,0.39,0.34,0.36,0.31,0.29,0.26,0.34,0.23
e_1,0.84,1.0,0.95,0.98,0.88,0.71,0.58,0.47,0.64,0.46,0.46,0.47,0.37,0.36,0.33,0.33
d_1,1.03,1.05,1.0,0.94,0.82,0.81,0.48,0.35,0.42,0.59,0.47,0.37,0.34,0.39,0.26,0.36
c_1,1.03,1.02,1.06,1.0,1.24,0.74,0.47,0.41,0.31,0.35,0.34,0.36,0.34,0.34,0.31,0.27
b_1,1.09,1.13,1.21,0.8,1.0,1.21,0.6,0.56,0.52,0.47,0.38,0.48,0.37,0.42,0.35,0.39
a_1,1.52,1.4,1.22,1.36,0.82,1.0,0.78,0.65,0.55,0.59,0.51,0.44,0.65,0.56,0.38,0.41
h_1,2.54,1.7,2.09,2.04,1.69,1.32,1.0,1.12,0.91,0.9,0.78,0.7,0.65,0.75,0.72,0.65
g_1,2.24,2.26,2.88,2.45,1.78,1.59,0.88,1.0,0.71,0.87,0.86,0.93,0.65,0.67,0.77,0.64
d_0,2.45,1.62,2.57,3.15,2.06,1.79,1.09,1.33,1.0,0.87,0.86,0.81,0.83,0.83,0.69,0.66
c_0,2.84,2.27,1.68,2.65,2.03,1.7,1.06,1.21,1.2,1.0,1.46,0.95,0.96,0.89,0.76,0.69
b_0,2.78,2.27,2.17,2.9,2.96,1.83,1.3,1.14,1.16,0.69,1.0,0.81,1.38,0.97,0.86,0.76
f_0,3.18,2.23,2.68,2.72,2.08,2.17,1.48,1.02,1.23,1.08,1.21,1.0,1.0,0.92,0.7,1.52
a_0,3.33,2.61,2.9,2.86,2.89,1.83,1.52,1.47,1.14,1.0,0.85,1.02,1.0,1.0,0.84,0.66
h_0,3.88,2.93,2.73,2.72,2.34,1.67,1.34,1.54,1.19,1.12,1.02,1.06,1.0,1.0,1.0,0.89
g_0,3.2,3.04,3.8,3.21,2.87,2.52,1.36,1.33,1.42,1.25,1.19,1.53,1.21,1.03,1.0,1.05
e_0,4.29,3.23,2.99,3.8,2.55,2.34,1.45,1.48,1.35,1.39,1.27,0.63,1.47,1.21,0.98,1.0
