,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,1.0,1.19,1.03,1.15,1.79,3.44,19.98,,23.66,43.74,43.44,36.72,53.64,101.23,65.75,64.58
e_1,0.84,1.0,0.71,1.12,1.75,3.03,22.53,31.51,32.86,29.76,44.03,41.65,64.23,63.57,,86.52
f_1,0.97,1.42,1.0,1.12,1.31,3.58,15.98,24.99,34.47,26.61,,39.18,42.19,66.89,60.91,79.46
c_1,0.87,0.9,0.89,1.0,1.78,2.75,15.17,15.7,26.57,,29.77,31.38,69.99,67.64,,97.76
b_1,0.56,0.57,0.77,0.56,1.0,2.21,12.87,12.71,17.18,19.61,18.52,,38.34,50.69,55.44,59.28
a_1,0.29,0.33,0.28,0.36,0.45,1.0,7.73,8.71,10.5,12.08,15.94,15.38,24.64,,,28.65
h_1,0.05,0.04,0.06,0.07,0.08,0.13,1.0,1.41,2.19,1.32,1.69,1.73,,3.77,4.75,4.62
d_0,,0.03,0.04,0.06,0.08,0.11,0.71,1.0,0.98,1.03,1.41,1.26,2.23,2.82,2.8,3.43
g_1,0.04,0.03,0.03,0.04,0.06,0.1,0.46,1.03,1.0,1.28,1.53,1.47,2.15,,2.8,
c_0,0.02,0.03,0.04,,0.05,0.08,0.76,0.97,0.78,1.0,1.47,2.15,2.59,2.21,2.7,3.06
f_0,0.02,0.02,,0.03,0.05,0.06,0.59,0.71,0.65,0.68,1.0,1.08,1.66,1.79,3.09,1.82
b_0,0.03,0.02,0.03,0.03,,0.07,0.58,0.79,0.68,0.46,0.92,1.0,1.67,3.57,2.18,1.88
h_0,0.02,0.02,0.02,0.01,0.03,0.04,,0.45,0.47,0.39,0.6,0.6,,1.21,1.11,1.35
a_0,0.01,0.02,0.01,0.01,0.02,,0.27,0.35,,0.45,0.56,0.28,0.83,1.0,,0.99
e_0,0.02,,0.02,,0.02,,0.21,0.36,0.36,0.37,0.32,0.46,0.9,,1.0,1.07
g_0,0.02,0.01,0.01,0.01,0.02,0.03,0.22,0.29,,0.33,0.55,0.53,0.74,1.01,0.93,
