,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,13506.23,1023.06,1677.48,2546.55,2281.6,9975.93,1223499.67,2796699.06,5291778.12,11837264.26,12900845.31,13960034.94,48231177.76,9613135.27,35001672.01,60294164.95
d_1,1399.31,14110.29,1391.75,1727.57,2300.06,10112.8,1189812.24,2740639.58,11172416.02,1172607.11,12359537.42,14944716.17,53707168.49,50193811.96,39260506.39,88521163.51
f_1,2408.33,1502.51,15117.3,1786.7,2253.2,7757.3,1336273.67,2982128.43,4925426.5,6325929.16,1451449.07,13528912.48,46471162.02,28254623.01,50202410.54,85729523.48
c_1,968.33,1194.24,1522.32,24491.69,5142.27,9357.74,1149777.08,2345370.62,945125.03,6605433.59,11032325.18,6752024.69,57307930.9,40554357.37,40276587.8,103514000.99
b_1,1339.56,1021.64,1387.64,2066.38,30597.31,22195.12,1304060.56,2804779.59,3929276.55,5939045.22,10888318.13,2256213.18,66102081.43,43274004.68,37465413.45,83915474.94
a_1,1237.06,1379.35,1348.04,2846.68,2709.52,169229.51,940780.03,3435609.34,4776586.19,5720846.66,8815083.35,16724958.36,44584200.35,51181125.74,6960633.1,101499835.45
h_1,1974.81,2765.55,3571.68,4255.71,3889.33,12377.45,7835674.3,5984226.46,8632269.79,8593109.49,17598819.96,29641910.47,25610773.74,64518927.11,66474046.11,210234054.86
g_1,2112.98,4376.97,2225.98,2137.66,4254.27,15152.49,2094422.15,23727630.38,9476494.42,8456019.48,28268306.94,26565503.08,63845554.92,71890778.08,58487412.68,66012120.25
c_0,2230.91,2890.89,3118.14,1682.05,3880.51,18309.68,2491446.81,6024987.48,27532531.11,8230177.64,19711036.74,50567568.93,72820757.11,79652996.43,98238695.6,176532412.48
d_0,2754.09,507.48,2627.4,8415.39,4704.58,11096.83,2319451.11,3669218.04,5301430.32,29644758.41,17711819.07,24256742.76,85944236.74,61349217.54,62712533.48,125335215.2
f_0,2016.92,3178.89,1132.44,3716.21,5025.57,14880.0,2391056.05,5788398.19,11424872.03,9859297.71,62816812.17,30235828.53,106478307.93,181765526.28,68945544.45,185214334.41
b_0,1963.28,3933.09,3206.75,4216.52,1215.94,11286.43,2218022.24,5092958.69,9840416.86,8468013.83,20073231.81,82561607.51,118517942.29,66557242.66,166393106.66,139313780.06
h_0,1922.38,2393.81,3682.51,4041.49,3937.57,17638.74,887552.24,8345143.4,9736343.15,11510687.43,17218170.33,22720180.93,39702976.44,65362311.78,90663851.82,242299389.68
e_0,784.64,3430.95,3568.48,4063.86,3474.64,22328.13,2540391.88,5558887.36,8889249.92,10762154.31,17513658.41,26947191.34,109597124.85,316011071.55,59252075.92,165724305.59
a_0,2432.4,3063.35,3304.15,4063.86,3652.82,,2501901.1,4748216.28,8889249.92,9949916.25,21179307.84,23647535.26,125767192.45,79002767.89,313816550.22,212559435.44
g_0,1906.13,4374.86,2043.17,4644.87,3738.4,15888.96,2082622.59,1918207.61,8048902.8,7623597.8,24735963.01,29148511.2,87293059.77,82390367.01,77543874.83,67629318.58
