,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,15.43,0.61,0.72,0.44,0.56,0.58,0.94,2.08,0.76,0.72,0.85,1.15,1.01,0.99,0.49,1.01
f_1,1.3,16.05,0.45,0.49,0.44,0.64,0.74,0.89,0.86,0.7,0.95,0.39,0.85,0.77,0.76,0.94
c_1,0.41,0.55,17.93,0.63,1.17,0.5,0.74,0.71,0.34,0.82,0.66,0.93,0.71,0.93,0.88,0.82
d_1,0.51,0.62,0.39,19.02,0.56,0.53,1.01,0.38,2.04,1.12,1.35,0.92,1.11,1.1,1.16,0.88
b_1,0.52,0.52,0.76,0.58,18.03,1.04,0.89,0.81,0.8,0.74,0.34,0.8,0.6,0.94,0.88,0.92
a_1,0.55,0.54,0.63,0.63,0.54,29.57,1.04,0.96,0.8,0.91,0.98,0.89,0.71,0.96,1.11,1.37
h_1,0.58,1.25,0.59,0.86,0.7,0.65,5.35,0.98,1.14,1.65,1.32,1.18,1.23,0.68,1.35,1.47
d_0,0.66,0.82,2.01,0.45,0.77,0.56,0.96,3.15,0.91,1.09,0.85,1.11,1.21,1.28,1.01,0.98
c_0,0.69,0.86,0.42,0.94,0.5,0.68,1.27,1.1,3.14,1.43,3.55,1.63,1.69,1.35,1.01,1.2
g_1,0.65,0.52,0.79,1.45,0.66,0.61,0.94,0.7,1.17,7.31,1.17,2.44,1.25,1.26,1.66,0.54
b_0,0.61,0.78,0.74,0.85,0.42,0.82,1.3,1.17,1.6,1.36,4.05,1.49,3.19,1.12,1.31,1.33
f_0,0.51,0.48,0.86,0.78,0.79,0.79,1.34,1.31,1.3,1.25,1.66,4.49,1.45,1.86,2.93,1.12
a_0,0.71,0.83,0.86,0.85,0.57,0.48,1.27,1.34,1.59,0.97,1.34,1.14,4.09,1.2,1.44,0.99
h_0,0.68,1.14,0.7,0.88,0.67,0.64,0.53,1.15,1.36,1.83,1.32,1.11,1.03,1.02,1.34,1.75
e_0,0.39,0.87,0.64,0.98,0.79,0.6,1.45,1.19,1.64,1.6,1.47,1.25,1.36,1.65,4.63,1.46
g_0,0.58,0.67,0.67,1.82,0.68,0.73,1.07,0.83,1.42,0.73,1.03,2.3,1.11,1.26,1.24,0.87
