,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.75,1.03,1.2,0.97,1.05,1.14,1.04,1.35,1.06,1.01,1.09,1.14,1.1,0.9,1.05
f_1,1.32,1.0,0.92,1.05,0.85,0.93,0.78,1.06,0.96,0.92,0.96,0.9,0.87,0.77,0.81,0.94
d_1,0.97,1.09,1.0,0.87,0.96,0.97,1.05,0.82,1.09,1.33,1.13,1.01,1.01,0.98,1.1,0.86
c_1,0.83,0.95,1.15,1.0,1.48,0.92,1.05,0.95,0.71,0.81,0.83,0.89,1.0,0.89,0.92,0.95
b_1,1.03,1.17,1.04,0.68,1.0,1.35,1.03,1.18,0.95,0.86,0.94,1.19,0.78,1.19,1.06,1.18
a_1,0.96,1.09,1.02,1.09,0.74,1.0,1.18,1.27,0.93,1.04,1.16,0.89,1.63,1.16,1.06,1.31
h_1,0.88,1.22,0.94,1.01,0.99,0.85,1.0,1.13,0.89,0.94,0.97,1.08,0.93,1.02,0.94,1.24
g_1,0.98,0.99,1.18,1.04,0.87,0.73,0.88,1.0,1.05,0.96,1.0,1.26,1.04,1.1,0.95,0.93
d_0,0.73,1.0,0.93,1.44,1.05,1.1,1.08,0.97,1.0,0.87,0.97,0.89,0.99,1.02,1.07,1.03
c_0,0.97,1.02,0.74,1.31,1.14,0.92,1.07,1.03,1.25,1.0,1.36,1.08,1.11,1.2,1.06,0.96
b_0,1.05,1.05,0.85,1.16,1.12,0.8,1.01,1.0,1.03,0.7,1.0,1.03,1.4,1.12,1.01,0.98
f_0,0.89,1.16,0.93,1.11,0.91,1.21,0.93,0.77,1.14,0.97,0.88,1.0,0.98,1.26,1.46,0.81
a_0,0.93,1.14,1.01,0.95,1.28,0.73,1.03,0.93,0.95,0.89,0.76,1.02,1.0,1.06,1.25,1.16
h_0,0.92,1.3,1.03,1.05,0.9,0.82,1.01,0.95,0.94,0.85,0.92,0.83,0.89,1.0,1.11,1.19
e_0,1.15,1.27,0.93,1.08,0.96,0.95,1.09,1.06,0.97,0.9,1.01,0.67,0.81,0.86,1.0,1.02
g_0,0.97,1.04,1.2,1.06,0.85,0.8,0.82,1.11,0.92,1.03,0.98,1.22,0.81,0.83,0.98,1.0
