,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.38,0.84,1.01,0.95,0.89,0.54,0.66,0.64,0.58,0.75,,0.44,0.65,0.62,0.64
e_1,0.72,1.0,0.96,1.18,0.95,0.76,0.79,0.75,0.81,0.66,0.56,0.68,0.51,0.56,0.66,
d_1,1.19,1.05,1.0,0.96,0.97,1.0,0.72,,0.44,0.87,0.65,0.51,0.69,0.6,0.43,0.5
c_1,0.99,0.85,1.04,1.0,1.16,0.99,0.7,0.48,0.9,,0.56,0.76,0.71,0.64,0.46,
b_1,1.05,1.05,1.04,0.86,1.0,,0.82,0.83,0.74,0.7,,0.67,0.55,,0.61,0.6
a_1,1.13,1.32,1.0,1.01,,1.0,0.84,0.99,0.92,0.9,0.76,0.7,0.84,,0.59,
h_1,1.85,1.26,1.38,1.42,1.21,1.19,1.0,0.85,1.0,0.89,0.7,0.7,,0.85,1.03,0.7
d_0,1.51,1.33,,2.08,1.2,1.01,1.17,1.0,1.14,1.09,0.78,0.8,1.13,0.72,0.94,0.69
g_1,1.56,1.23,2.25,1.11,1.34,1.09,1.0,0.87,1.0,0.95,1.1,1.42,0.79,,,
c_0,1.72,1.51,1.14,,1.43,1.12,1.12,0.92,1.05,1.0,1.44,0.83,0.9,0.98,0.85,0.95
b_0,1.33,1.79,1.55,1.77,,1.32,1.42,1.28,0.91,0.69,1.0,0.94,0.87,1.38,0.97,0.8
f_0,,1.48,1.95,1.32,1.5,1.44,1.43,1.25,0.7,1.2,1.06,1.0,1.31,0.92,0.6,1.18
h_0,2.25,1.97,1.46,1.41,1.83,1.18,,0.89,1.26,1.12,1.15,0.76,,0.83,1.18,0.91
a_0,1.55,1.78,1.66,1.55,,,1.18,1.38,,1.02,0.73,1.09,1.2,1.0,1.18,
g_0,1.62,1.51,2.34,2.17,1.63,1.68,0.97,1.06,,1.18,1.03,1.66,0.85,0.85,,
e_0,1.56,,1.98,,1.67,,1.43,1.45,,1.05,1.25,0.84,1.1,,,1.0
