,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.46,1.52,2.29,1.73,1.61,1.53,2.94,2.95,3.42,4.0,3.65,2.94,4.43,3.67,4.08,2.97
d_1,1.79,2.52,1.66,1.4,1.59,1.65,3.28,3.16,5.18,3.27,4.33,3.98,4.45,4.41,4.79,3.76
e_1,1.58,1.54,2.52,2.05,1.66,1.64,3.24,3.7,3.55,5.37,3.64,4.11,5.06,3.57,4.56,3.21
c_1,1.63,1.77,1.4,2.68,2.67,1.7,2.99,3.08,2.64,3.0,2.56,3.3,4.09,3.35,4.58,3.88
b_1,1.69,1.71,1.64,1.46,2.77,2.72,3.28,3.15,3.37,3.37,3.18,3.76,4.35,2.95,4.19,4.13
a_1,1.9,1.77,1.74,1.62,1.46,3.15,3.52,3.62,3.51,3.54,4.34,3.6,4.82,3.36,4.58,3.57
h_1,2.1,1.73,1.77,1.75,1.67,1.6,4.29,3.62,3.69,3.45,3.47,3.58,3.99,3.77,5.55,3.74
g_1,1.75,2.29,1.44,1.65,1.68,1.54,3.24,4.7,3.93,3.18,3.99,4.78,4.7,3.7,4.1,4.58
c_0,1.89,1.7,1.69,1.82,1.44,1.72,3.34,3.51,4.61,4.08,6.25,4.19,5.1,5.13,4.75,4.5
d_0,1.64,1.48,1.45,2.79,2.0,1.75,3.16,3.72,2.69,4.53,3.51,3.79,4.77,3.88,4.66,4.43
b_0,1.71,1.83,1.74,2.12,1.39,1.32,3.68,3.32,3.27,4.04,4.97,3.99,5.1,6.95,5.12,4.31
f_0,1.73,1.83,1.55,1.92,1.62,1.84,3.59,3.17,3.58,3.94,3.9,5.0,4.79,4.06,4.72,6.91
h_0,1.93,1.86,1.64,1.86,1.73,1.7,3.04,3.77,3.74,3.81,4.1,3.86,4.21,4.0,5.73,3.94
a_0,1.79,1.72,1.7,2.0,1.72,1.56,3.43,3.55,3.24,4.0,3.29,4.18,5.1,5.54,4.86,4.58
g_0,1.78,2.1,1.6,1.64,1.9,1.71,3.09,3.28,3.99,3.8,3.74,4.88,4.06,4.26,4.44,4.54
e_0,1.91,1.86,1.63,1.81,1.8,1.77,3.48,3.41,3.5,3.57,4.1,3.17,4.84,3.79,4.77,5.62
