,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,5.94,2.33,1.86,2.58,2.18,2.57,8.98,16.24,8.37,10.66,10.82,10.74,15.0,11.6,15.33,7.62
f_1,3.96,6.35,2.06,2.24,1.82,1.65,6.65,11.07,7.68,10.56,10.66,6.39,14.86,11.02,14.28,6.49
d_1,2.1,2.49,6.55,1.78,2.07,2.16,8.89,7.28,8.08,18.0,12.71,11.64,17.53,12.07,16.76,13.69
c_1,2.05,2.19,2.11,6.61,3.81,2.43,7.84,9.47,6.99,5.66,7.75,8.82,16.19,9.21,14.18,11.77
b_1,1.93,2.13,2.24,2.19,7.25,4.3,7.84,8.78,7.59,10.03,6.73,11.82,15.05,7.44,13.2,12.93
a_1,1.87,2.19,2.52,2.6,2.55,10.6,8.02,10.18,7.89,11.89,10.91,11.9,16.7,8.69,15.32,11.41
h_1,2.18,3.37,2.77,2.28,2.04,1.94,18.45,11.1,11.6,11.28,10.21,11.46,12.64,13.63,26.39,12.73
d_0,2.35,2.49,1.69,4.49,2.6,2.42,7.81,17.62,7.78,7.8,10.29,10.68,19.08,10.75,15.82,10.38
g_1,2.13,2.03,3.62,2.56,2.3,2.1,8.41,9.35,23.19,11.39,11.8,19.04,17.01,13.81,16.19,15.06
c_0,2.58,2.75,2.52,2.15,2.02,2.59,8.99,12.33,10.15,18.91,23.34,13.32,20.11,16.4,20.21,12.99
b_0,2.83,2.73,2.51,2.76,1.8,1.37,10.7,11.11,11.3,10.62,22.06,13.29,21.54,27.51,17.8,10.96
f_0,1.72,1.81,3.22,2.82,2.56,2.56,9.45,11.06,10.52,10.98,11.63,22.14,20.11,12.57,20.19,31.2
h_0,2.49,3.42,2.61,2.45,2.6,2.06,6.36,9.66,12.25,10.38,11.67,11.5,14.01,12.27,21.25,12.83
a_0,2.26,3.13,2.95,2.61,1.95,1.26,11.03,11.38,10.49,12.27,13.11,14.23,22.88,29.07,23.97,12.11
g_0,1.96,2.22,4.42,2.44,2.53,2.37,7.84,8.06,7.23,11.7,11.15,18.66,17.35,10.02,15.9,15.15
e_0,1.69,3.03,3.1,2.6,2.39,2.15,10.97,9.68,10.68,11.96,12.92,12.69,19.76,12.48,21.54,30.52
