,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.18,7.15,17.14,17.18,13.48,10.95,3.77,2.69,2.62,2.76,2.29,2.59,1.71,,2.39,2.99
f_1,13.28,0.18,12.44,9.94,12.16,12.12,2.36,5.97,2.82,2.3,,3.26,1.3,2.43,2.27,2.42
d_1,19.04,12.14,0.16,14.19,16.81,11.62,3.45,2.03,2.33,,3.32,3.13,1.85,2.34,1.0,1.89
c_1,13.74,12.23,13.74,0.15,18.2,14.3,3.92,4.16,,1.37,2.26,2.36,1.59,2.19,1.88,2.55
b_1,14.44,13.83,13.21,7.52,0.13,12.02,2.8,4.6,3.11,2.39,2.51,,1.85,3.52,1.52,
a_1,24.43,16.58,13.2,16.98,7.37,0.1,4.03,3.04,2.25,2.25,2.73,2.84,1.35,,2.22,
h_1,3.05,3.1,3.45,3.05,2.8,3.15,0.07,1.01,0.84,0.63,0.66,0.63,,0.61,0.46,0.88
g_1,3.3,3.9,3.74,5.14,4.9,3.61,0.56,0.06,0.62,0.79,0.88,0.54,0.39,0.59,,0.7
c_0,3.11,2.35,1.34,,2.65,2.34,0.67,0.67,0.08,0.68,0.55,0.58,0.35,0.58,0.29,0.56
d_0,1.44,2.47,,2.18,2.47,2.96,0.84,0.75,0.57,0.09,0.42,0.47,0.37,0.5,0.35,0.53
f_0,2.56,,3.06,2.66,2.41,2.89,0.74,0.57,0.44,0.44,0.07,0.63,0.41,0.35,0.27,0.52
b_0,2.38,2.74,2.24,2.81,,3.72,0.72,0.71,0.28,0.56,0.55,0.07,0.38,0.75,0.6,0.45
h_0,1.28,1.38,1.53,1.24,1.66,1.88,,0.55,0.37,0.35,0.49,0.42,,0.3,0.22,0.4
e_0,,3.64,2.69,2.79,2.35,,0.79,0.67,0.55,0.58,0.28,0.45,0.33,0.05,0.25,
g_0,1.77,2.48,1.44,1.81,1.72,1.94,0.52,,0.32,0.32,0.29,0.36,0.18,0.38,,0.29
a_0,2.83,4.1,4.47,2.87,,,0.61,0.65,0.5,0.45,0.46,0.28,0.4,,0.44,0.04
