,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.28,0.88,1.02,1.01,1.02,0.87,1.15,0.86,0.93,1.0,0.86,1.03,0.88,0.7,0.99
e_1,0.78,1.0,1.01,1.11,1.0,0.96,1.0,1.14,0.99,1.42,1.11,1.08,1.01,1.01,1.12,0.98
d_1,1.13,0.99,1.0,1.23,0.87,0.92,0.99,0.82,1.3,1.09,0.92,0.85,0.91,0.9,1.03,0.84
c_1,0.98,0.9,0.82,1.0,1.6,0.91,1.04,1.02,0.98,0.67,0.99,1.04,0.96,1.1,0.97,1.18
b_1,0.99,1.0,1.16,0.63,1.0,1.3,1.22,1.1,1.11,1.02,0.95,1.05,1.01,0.95,1.05,0.9
a_1,0.98,1.05,1.08,1.1,0.77,1.0,1.05,0.85,0.94,1.02,1.19,0.91,,1.14,1.09,1.21
h_1,1.17,0.99,1.04,0.98,0.82,0.96,1.0,1.08,0.93,0.97,0.93,1.05,1.03,1.38,1.05,1.2
g_1,0.87,0.84,1.26,1.02,0.92,1.19,0.93,1.0,1.13,0.94,0.9,1.3,0.87,0.9,1.17,1.1
c_0,1.21,1.02,0.74,0.91,0.9,1.04,1.09,0.85,1.0,1.11,1.46,1.04,0.96,1.06,0.94,1.02
d_0,1.03,0.67,1.04,1.49,0.9,1.06,1.02,1.15,0.88,1.0,0.89,0.99,1.12,1.06,1.12,1.01
b_0,1.04,0.92,1.06,1.05,0.89,0.89,1.1,1.1,0.66,1.15,1.0,0.94,1.35,1.29,1.22,1.17
f_0,1.19,0.89,1.2,0.97,0.9,1.0,1.01,0.8,0.95,0.97,1.09,1.0,0.93,0.98,1.33,0.77
a_0,0.99,0.99,1.04,1.09,0.89,,1.0,1.15,1.03,0.91,0.73,1.05,1.0,1.27,1.26,0.84
h_0,1.16,0.97,1.1,0.94,0.98,0.86,0.73,1.09,0.95,0.92,0.78,1.05,0.82,1.0,0.9,1.16
e_0,1.45,0.94,0.99,1.04,0.95,0.74,0.9,0.84,1.12,0.94,0.95,0.73,0.92,1.09,1.0,1.06
g_0,1.02,0.93,1.2,0.87,1.09,0.83,0.82,0.87,1.03,0.98,0.87,1.24,1.12,0.88,0.96,1.0
