,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,1.55,1.07,1.1,0.91,0.92,0.81,1.12,1.04,1.03,1.71,1.24,1.31,1.31,1.11,1.13,1.15
e_1,0.9,1.55,0.97,1.2,1.01,0.93,1.21,1.81,1.14,1.07,1.17,1.16,1.38,0.97,0.89,1.16
f_1,1.01,1.43,1.56,1.02,0.85,0.81,1.04,1.25,1.1,1.07,0.95,1.08,1.16,0.99,0.71,1.02
c_1,1.08,0.99,1.0,1.57,1.4,0.82,1.15,1.06,0.98,0.89,1.07,0.89,1.27,0.96,0.95,1.34
b_1,1.1,1.04,1.02,0.97,1.64,1.39,1.32,1.11,1.0,1.27,1.17,1.18,1.23,0.94,1.09,1.37
a_1,1.15,1.03,1.15,1.06,0.91,1.75,1.34,1.4,1.36,1.42,1.34,1.4,1.54,1.0,1.27,1.28
h_1,1.34,1.26,1.6,1.32,1.03,0.9,1.88,1.48,1.6,1.34,1.37,1.36,1.38,1.37,1.2,1.65
d_0,1.17,1.17,1.26,1.85,1.41,1.05,1.49,1.78,1.27,1.15,1.45,1.29,1.56,1.17,1.34,1.57
g_1,1.72,1.19,1.22,1.28,1.17,0.97,1.31,1.55,1.97,1.52,1.87,1.48,1.55,1.56,1.59,1.46
c_0,1.3,1.41,1.47,1.32,0.95,0.96,1.64,1.73,1.33,1.84,1.56,2.38,1.78,1.68,1.5,1.69
f_0,1.4,1.19,1.34,1.39,1.34,1.18,1.51,1.6,1.39,1.49,1.86,1.45,1.7,1.38,2.19,1.43
b_0,1.37,1.33,1.51,1.57,0.95,0.96,1.49,1.71,1.37,1.3,1.57,1.87,1.74,2.28,1.6,1.64
h_0,1.53,1.42,1.69,1.31,1.14,1.02,1.34,1.66,1.57,1.43,1.47,1.46,1.57,1.39,1.37,1.85
a_0,1.47,1.43,1.58,1.45,1.25,0.87,1.69,1.74,1.44,1.62,1.65,1.24,1.8,1.96,1.6,1.74
e_0,1.59,1.11,1.74,1.39,1.29,1.07,1.7,1.55,1.36,1.58,1.36,1.5,1.83,1.53,1.94,1.75
g_0,1.88,1.28,1.41,1.31,1.2,1.14,1.43,1.48,1.33,1.57,2.09,1.61,1.63,1.47,1.46,1.62
