,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.13,5.01,4.29,4.76,4.9,4.12,0.98,1.5,0.97,0.9,0.89,2.47,0.51,0.79,0.78,0.74
e_1,2.68,1.12,6.71,5.16,5.16,6.03,1.48,1.74,1.33,1.24,1.3,1.39,0.8,1.31,0.93,2.79
d_1,5.54,6.87,1.12,6.77,6.57,4.63,1.58,1.01,2.68,0.92,1.04,0.88,0.77,1.04,0.48,1.02
c_1,5.75,5.05,7.29,1.13,5.29,6.48,1.71,1.61,0.65,2.25,1.17,1.14,0.86,1.32,0.89,1.12
b_1,7.91,5.86,7.5,3.59,1.14,6.7,2.53,2.31,1.66,2.04,3.98,1.48,1.01,1.47,1.19,1.6
a_1,11.91,8.73,9.52,10.3,4.61,1.14,3.55,3.1,2.16,2.44,2.36,2.08,1.66,5.06,1.42,2.0
h_1,19.58,19.21,14.97,16.29,16.47,17.51,1.82,4.98,4.06,3.39,3.51,3.4,4.59,3.04,3.37,3.81
g_1,20.64,24.17,19.9,24.5,23.23,19.57,4.56,1.85,5.93,4.49,4.39,4.87,2.47,4.25,5.0,4.38
d_0,24.19,11.3,44.91,25.1,22.65,22.94,6.52,6.96,2.33,4.4,4.49,4.05,3.74,5.2,4.47,4.5
c_0,33.32,25.88,12.45,46.45,27.73,21.23,5.71,6.96,5.98,2.38,5.02,3.78,3.84,5.41,3.51,4.7
b_0,29.44,21.59,17.68,40.42,63.21,22.68,7.07,6.75,4.62,2.45,2.3,4.52,3.4,4.7,3.09,4.5
f_0,54.26,27.85,25.96,26.83,32.75,27.72,8.87,4.98,6.38,6.79,6.22,2.4,4.45,5.34,2.46,6.11
h_0,32.19,38.41,28.4,32.76,27.45,24.34,16.35,9.74,7.79,5.41,6.63,6.49,7.18,5.9,4.86,4.84
a_0,40.84,40.1,36.12,33.83,48.54,64.39,10.3,9.47,9.31,5.76,4.36,7.44,4.94,2.55,5.15,5.23
g_0,46.32,43.96,40.04,50.19,41.82,44.36,7.72,18.94,10.63,7.1,7.86,7.23,4.41,8.23,8.5,7.71
e_0,66.63,68.85,37.76,45.76,46.86,51.18,11.42,13.64,7.2,6.36,8.07,4.22,6.64,6.48,6.3,2.68
