,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.17,1.0,0.83,0.93,1.0,1.05,1.22,1.29,0.78,1.1,0.93,0.99,1.02,1.02,0.75
f_1,0.85,1.0,1.31,1.1,0.91,0.82,0.87,1.02,1.01,1.01,0.97,0.95,0.92,0.86,0.74,0.98
e_1,1.0,0.77,1.0,1.12,1.08,1.0,1.04,1.47,0.97,1.23,1.05,1.1,1.18,1.06,0.9,1.23
c_1,1.23,0.9,0.9,1.0,1.33,0.78,0.99,0.7,0.81,1.02,0.8,0.93,1.0,1.02,1.09,1.12
b_1,1.06,1.09,0.94,0.75,1.0,1.69,1.07,1.07,0.92,0.96,1.09,0.96,0.95,0.9,1.02,0.91
a_1,0.99,1.23,1.0,1.26,0.59,1.0,1.0,0.86,0.94,1.08,1.09,1.23,1.02,1.12,1.07,1.13
h_1,0.95,1.15,0.97,0.99,0.95,0.94,1.0,0.93,0.91,1.17,0.89,0.99,1.02,0.88,1.02,1.19
d_0,0.86,0.92,0.66,1.44,1.0,1.11,1.11,1.0,0.9,1.07,1.16,1.1,1.1,1.03,0.98,1.25
c_0,0.79,1.04,1.05,1.16,1.05,1.03,1.11,1.12,1.0,1.13,1.32,0.98,0.99,1.14,0.91,1.1
g_1,1.24,0.96,0.84,1.06,1.05,0.9,0.88,0.93,0.94,1.0,0.92,1.27,0.82,0.88,1.03,1.02
b_0,0.88,1.08,0.97,1.24,0.9,0.84,1.17,0.89,0.75,1.07,1.0,1.0,1.06,1.35,1.22,1.01
f_0,1.08,0.98,0.93,1.03,1.1,0.8,0.98,0.97,0.98,0.84,0.98,1.0,1.08,1.06,1.48,0.79
h_0,1.01,1.14,0.86,0.98,1.06,0.93,0.99,0.93,0.99,1.21,0.95,0.96,1.0,0.96,0.89,1.21
a_0,0.96,1.06,0.97,1.01,1.16,0.9,1.16,0.91,0.86,1.17,0.77,0.89,1.02,1.0,0.99,1.06
e_0,0.97,1.27,1.1,0.92,1.07,0.92,0.9,1.06,1.12,0.95,0.93,0.7,1.13,1.01,1.0,1.05
g_0,1.29,1.02,0.77,0.97,1.17,0.98,0.85,0.79,0.96,0.99,0.96,1.28,0.81,0.98,0.98,1.0
