,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.18,0.45,0.77,0.88,0.86,0.8,0.25,0.2,0.26,0.14,0.17,0.18,0.2,0.12,0.13,0.45
f_1,0.7,0.18,0.67,0.75,0.86,0.73,0.17,0.16,0.3,0.15,0.14,0.36,0.16,0.08,0.13,0.12
d_1,0.97,0.86,0.16,0.73,0.67,0.7,0.2,0.41,0.13,0.16,0.15,0.14,0.14,0.1,0.07,0.14
c_1,0.62,0.78,1.05,0.15,0.85,0.71,0.23,0.08,0.22,0.36,0.15,0.14,0.14,0.12,0.1,0.13
b_1,0.96,0.83,0.79,0.41,0.12,0.94,0.22,0.15,0.26,0.18,0.58,0.19,0.16,0.17,0.13,0.16
a_1,0.7,0.98,0.79,0.94,0.38,0.09,0.25,0.17,0.25,0.15,0.24,0.18,0.55,0.1,0.14,0.16
h_1,0.66,0.57,0.57,0.61,0.65,0.6,0.07,0.14,0.17,0.13,0.13,0.12,0.12,0.15,0.09,0.12
d_0,0.32,0.73,1.25,0.68,0.86,0.61,0.21,0.07,0.22,0.12,0.14,0.13,0.12,0.09,0.1,0.13
g_1,0.58,0.61,0.69,0.6,0.58,0.7,0.15,0.13,0.05,0.15,0.14,0.13,0.15,0.07,0.19,0.12
c_0,0.66,0.58,0.33,1.44,0.8,0.53,0.2,0.19,0.17,0.06,0.13,0.14,0.15,0.11,0.1,0.12
b_0,0.47,0.78,0.54,0.71,1.66,0.58,0.19,0.14,0.16,0.07,0.06,0.11,0.13,0.1,0.07,0.14
f_0,0.57,1.65,0.52,0.63,0.6,0.53,0.17,0.14,0.1,0.12,0.13,0.05,0.13,0.1,0.06,0.12
a_0,0.54,0.65,0.53,0.73,0.8,1.29,0.18,0.15,0.18,0.13,0.07,0.1,0.04,0.09,0.08,0.13
h_0,0.48,0.62,0.54,0.73,0.6,0.51,0.29,0.13,0.21,0.11,0.13,0.13,0.11,0.16,0.08,0.11
g_0,0.59,0.72,0.53,0.81,0.68,0.4,0.15,0.14,0.23,0.1,0.11,0.11,0.13,0.06,0.13,0.1
e_0,0.99,0.98,0.55,0.59,0.56,0.55,0.16,0.13,0.13,0.14,0.12,0.06,0.13,0.09,0.1,0.04
